a,a.DET:4
course,course.V::g1s:g1p:g2s:g2p:g3p
courses,course.V::g3s
courtyard,courtyard.N
cover,cover.V::g1s:g1p:g2s:g2p:g3p
covers,cover.V::g3s
covertly,covertly.ADV
cram,cram.V::g1s:g1p:g2s:g2p:g3p
cramped,cramp.V
crank,crank.V::g1s:g1p:g2s:g2p:g3p
crash,crash.V::g1s:g1p:g2s:g2p:g3p
craving,crave.V
crawled,crawl.V
crazy,crazy.ADJ
created,create.V
credit,credit.V::g1s:g1p:g2s:g2p:g3p
credo,credo.N
creeping,creep.V
cribbed,crib.V
cripple,cripple.V::g1s:g1p:g2s:g2p:g3p
crisis,crisis.N
crisply,crisply.ADV
critical,critical.ADJ
criticising,criticise.V
criticism,criticism.N
criticize,criticize.V::g1s:g1p:g2s:g2p:g3p
cross,cross.ADV
crossed,cross.V
crossing,cross.V
crosspiece,crosspiece.N
crossroad,crossroad.N
crowd,crowd.V::g1s:g1p:g2s:g2p:g3p
cruelty,cruelty.N
crutches,crutch.V::g3s
crying,cry.V
crystallize,crystallize.V::g1s:g1p:g2s:g2p:g3p
cs,c.N
cultivate,cultivate.V::g1s:g1p:g2s:g2p:g3p
cum,cum.ADV
cup,cup.V::g1s:g1p:g2s:g2p:g3p
cups,cup.V::g3s
cured,cure.V
curious,curious.ADJ
curiously,curiously.ADV
currant,currant.N
curse,curse.V::g1s:g1p:g2s:g2p:g3p
cursed,curse.V
cursing,curse.V
curtain,curtain.V::g1s:g1p:g2s:g2p:g3p
cussing,cuss.V
cut,cut.V::g1s:g1p:g2s:g2p:g3p
cuts,cut.V::g3s
cutting,cut.V
cuttings,cutting.N
dabbler,dabbler.N
dag,dag.N
daily,daily.ADV
damaging,damage.V
damn,damn.ADV
damp,damp.V::g1s:g1p:g2s:g2p:g3p
danger,danger.N
dangerous,dangerous.ADJ
dank,dank.ADJ
dare,dare.V::g1s:g1p:g2s:g2p:g3p
daresay,daresay.V::g1s:g1p:g2s:g2p:g3p
dark,dark.N
data,datum.N
date,date.V::g1s:g1p:g2s:g2p:g3p
dated,date.V
datum,datum.N
dawned,dawn.V
day,day.N
days,days.ADV
dead,dead.ADV
deadly,deadly.ADV
deal,deal.V::g1s:g1p:g2s:g2p:g3p
dealers,dealer.N
dealing,deal.V
dealings,dealing.N
dear,dear.ADV
death,death.N
debated,debate.V
debunk,debunk.V::g1s:g1p:g2s:g2p:g3p
debunks,debunk.V::g3s
decency,decency.N
decent,decent.ADJ
decently,decently.ADV
decided,decide.V
decide,decide.V::g1s:g1p:g2s:g2p:g3p
decidedly,decidedly.ADV
deciding,decide.V
decimal,decimal.N
decision,decision.N
deck,deck.V::g1s:g1p:g2s:g2p:g3p
declaration,declaration.N
declared,declare.V
decline,decline.V::g1s:g1p:g2s:g2p:g3p
decreased,decrease.V
dedicated,dedicate.V
dedicate,dedicate.V::g1s:g1p:g2s:g2p:g3p
dedication,dedication.N
deduction,deduction.N
deductive,deductive.ADJ
deep,deep.ADV
deeper,deeper.ADV
deepest,deep.ADJ
deeply,deeply.ADV
deficiency,deficiency.N
defined,define.V
define,define.V::g1s:g1p:g2s:g2p:g3p
definite,definite.ADJ
definitely,definitely.ADV
definition,definition.N
definitive,definitive.ADJ
degrading,degrade.V
degree,degree.N
delay,delay.V::g1s:g1p:g2s:g2p:g3p
deliberately,deliberately.ADV
delighted,delight.V
delivered,deliver.V
delivery,delivery.N
demand,demand.V::g1s:g1p:g2s:g2p:g3p
demobilized,demobilize.V
demoted,demote.V
den,den.V::g1s:g1p:g2s:g2p:g3p
denied,deny.V
denies,deny.V::g3s
denoted,denote.V
denounced,denounce.V
dentist,dentist.N
deny,deny.V::g1s:g1p:g2s:g2p:g3p
denying,deny.V
departure,departure.N
depend,depend.V::g1s:g1p:g2s:g2p:g3p
dependent,dependent.N
depends,depend.V::g3s
deposit,deposit.V::g1s:g1p:g2s:g2p:g3p
deposited,deposit.V
depressed,depress.V
depresses,depress.V::g3s
depressing,depress.V
depressions,depression.N
deprives,deprive.V::g3s
depth,depth.N
depths,depth.N
deputized,deputize.V
derived,derive.V
derive,derive.V::g1s:g1p:g2s:g2p:g3p
derogatory,derogatory.ADJ
described,describe.V
describe,describe.V::g1s:g1p:g2s:g2p:g3p
describes,describe.V::g3s
description,description.N
desert,desert.V::g1s:g1p:g2s:g2p:g3p
deserve,deserve.V::g1s:g1p:g2s:g2p:g3p
design,design.V::g1s:g1p:g2s:g2p:g3p
designed,design.V
designs,design.V::g3s
desirability,desirability.N
desirable,desirable.N
desire,desire.V::g1s:g1p:g2s:g2p:g3p
desires,desire.V::g3s
desk,desk.N
despair,despair.V::g1s:g1p:g2s:g2p:g3p
despairing,despair.V
desperate,desperate.ADJ
despondent,despondent.ADJ
destroy,destroy.V::g1s:g1p:g2s:g2p:g3p
destroyed,destroy.V
destruction,destruction.N
desultory,desultory.ADJ
detail,detail.V::g1s:g1p:g2s:g2p:g3p
detailed,detail.V
details,detail.V::g3s
detain,detain.V::g1s:g1p:g2s:g2p:g3p
detective,detective.N
deteriorated,deteriorate.V
deterioration,deterioration.N
determination,determination.N
determined,determine.V
determine,determine.V::g1s:g1p:g2s:g2p:g3p
determines,determine.V::g3s
detract,detract.V::g1s:g1p:g2s:g2p:g3p
detracts,detract.V::g3s
develop,develop.V::g1s:g1p:g2s:g2p:g3p
developed,develop.V
development,development.N
develops,develop.V::g3s
deviate,deviate.V::g1s:g1p:g2s:g2p:g3p
deviations,deviation.N
device,device.V::g1s:g1p:g2s:g2p:g3p
devices,device.V::g3s
devil,devil.V::g1s:g1p:g2s:g2p:g3p
devilry,devilry.N
devote,devote.V::g1s:g1p:g2s:g2p:g3p
diabetes,diabetes.N
diagnosis,diagnosis.N
diagrams,diagram.V::g3s
dialect,dialect.N
dialects,dialect.N
dictated,dictate.V
dictate,dictate.V::g1s:g1p:g2s:g2p:g3p
dictating,dictate.V
dictionary,dictionary.N
did,do.V
died,die.V
die,die.V::g1s:g1p:g2s:g2p:g3p
dieing,die.V
dies,die.V::g3s
dieses,diesis.N
difference,difference.V::g1s:g1p:g2s:g2p:g3p
differences,difference.V::g3s
different,different.ADJ
difficult,difficult.ADJ
difficulties,difficulty.N
difficulty,difficulty.N
dig,dig.V::g1s:g1p:g2s:g2p:g3p
digest,digest.V::g1s:g1p:g2s:g2p:g3p
digesting,digest.V
digestion,digestion.N
digging,dig.V
dignified,dignify.V
digs,dig.V::g3s
diligent,diligent.ADJ
diluting,dilute.V
diminishes,diminish.V::g3s
din,din.V::g1s:g1p:g2s:g2p:g3p
dine,dine.V::g1s:g1p:g2s:g2p:g3p
dining,dine.V
dinner,dinner.N
direct,direct.ADV
direction,direction.N
directions,direction.N
directly,directly.ADV
director,director.N
directors,director.N
dire,dire.ADJ
dirt,dirt.N
dirty,dirty.V::g1s:g1p:g2s:g2p:g3p
disadvantage,disadvantage.V::g1s:g1p:g2s:g2p:g3p
disadvantages,disadvantage.V::g3s
disagreeable,disagreeable.ADJ
disagree,disagree.V::g1s:g1p:g2s:g2p:g3p
disagreeing,disagree.V
disagreement,disagreement.N
disagrees,disagree.V::g3s
disappoint,disappoint.V::g1s:g1p:g2s:g2p:g3p
disappointed,disappoint.V
disappointment,disappointment.N
disapproval,disapproval.N
disapprove,disapprove.V::g1s:g1p:g2s:g2p:g3p
discharging,discharge.V
disclaim,disclaim.V::g1s:g1p:g2s:g2p:g3p
discomfort,discomfort.V::g1s:g1p:g2s:g2p:g3p
discomforts,discomfort.V::g3s
disconnected,disconnect.V
discouraged,discourage.V
discouraging,discourage.V
discover,discover.V::g1s:g1p:g2s:g2p:g3p
discovered,discover.V
discovery,discovery.N
discrepancy,discrepancy.N
discuss,discuss.V::g1s:g1p:g2s:g2p:g3p
discussed,discuss.V
discussing,discuss.V
discussion,discussion.N
discussions,discussion.N
disease,disease.N
disgust,disgust.V::g1s:g1p:g2s:g2p:g3p
disgusted,disgust.V
dish,dish.V::g1s:g1p:g2s:g2p:g3p
disinclined,disincline.V
disjunctive,disjunctive.N
dislike,dislike.V::g1s:g1p:g2s:g2p:g3p
dislikes,dislike.V::g3s
dislodged,dislodge.V
disorder,disorder.V::g1s:g1p:g2s:g2p:g3p
disordered,disorder.V
dispatched,dispatch.V
dispensary,dispensary.N
dispensing,dispense.V
disproved,disprove.V
disregard,disregard.V::g1s:g1p:g2s:g2p:g3p
disrespectful,disrespectful.ADJ
dissertation,dissertation.N
distance,distance.V::g1s:g1p:g2s:g2p:g3p
distant,distant.ADJ
distinction,distinction.N
distinctly,distinctly.ADV
distinguishable,distinguishable.ADJ
distinguish,distinguish.V::g1s:g1p:g2s:g2p:g3p
distinguished,distinguish.V
distract,distract.V::g1s:g1p:g2s:g2p:g3p
distraction,distraction.N
distress,distress.V::g1s:g1p:g2s:g2p:g3p
district,district.V::g1s:g1p:g2s:g2p:g3p
disturb,disturb.V::g1s:g1p:g2s:g2p:g3p
disturbed,disturb.V
disturbs,disturb.V::g3s
divided,divide.V
dizzy,dizzy.V::g1s:g1p:g2s:g2p:g3p
doctor,doctor.V::g1s:g1p:g2s:g2p:g3p
doctors,doctor.V::g3s
do,do.V::g1s:g1p:g2s:g2p:g3p
doe,doe.N
does,do.V::g3s
dog,dog.ADV
dogmatic,dogmatic.ADJ
dogs,dog.V::g3s
doing,do.V
don,don.V::g1s:g1p:g2s:g2p:g3p
done,do.V
doomsday,doomsday.N
door,door.N
doors,door.N
dormer,dormer.N
double,double.ADV
doubt,doubt.V::g1s:g1p:g2s:g2p:g3p
doubted,doubt.V
doubtful,doubtful.ADJ
doubts,doubt.V::g3s
dough,dough.N
down,down.ADV
downright,downright.ADV
downs,down.V::g3s
dozen,dozen.N
dozens,dozen.N
drafts,draft.V::g3s
drag,drag.V::g1s:g1p:g2s:g2p:g3p
draw,draw.V::g1s:g1p:g2s:g2p:g3p
drawing,draw.V
drawings,drawing.N
drawn,draw.V
draws,draw.V::g3s
dread,dread.V::g1s:g1p:g2s:g2p:g3p
dream,dream.V::g1s:g1p:g2s:g2p:g3p
dreary,dreary.ADJ
dress,dress.V::g1s:g1p:g2s:g2p:g3p
dressing,dress.V
dressy,dressy.ADJ
dried,dry.V
drifter,drifter.N
drifting,drift.V
drink,drink.V::g1s:g1p:g2s:g2p:g3p
drinking,drink.V
drive,drive.V::g1s:g1p:g2s:g2p:g3p
driver,driver.N
driving,drive.V
drop,drop.V::g1s:g1p:g2s:g2p:g3p
dropped,drop.V
drove,drive.V
drug,drug.V::g1s:g1p:g2s:g2p:g3p
dry,dry.V::g1s:g1p:g2s:g2p:g3p
ds,d.N
duality,duality.N
dubious,dubious.ADJ
dud,dud.N
due,due.ADV
duets,duet.N
dull,dull.V::g1s:g1p:g2s:g2p:g3p
dullness,dullness.N
duplicated,duplicate.V
duration,duration.N
duties,duty.N
duty,duty.N
dying,die.V
each,each.PRO
ear,ear.N
earlier,early.ADJ
early,early.ADV
earn,earn.V::g1s:g1p:g2s:g2p:g3p
earning,earn.V
earnings,earnings.N
earth,earth.V::g1s:g1p:g2s:g2p:g3p
earthly,earthly.ADJ
easier,easy.ADJ
easiest,easy.ADJ
easily,easily.ADV
easy,easy.ADV
eat,eat.V::g1s:g1p:g2s:g2p:g3p
eaten,eat.V
eating,eat.V
eats,eat.V::g3s
eclipse,eclipse.V::g1s:g1p:g2s:g2p:g3p
economical,economical.ADJ
economic,economic.ADJ
economist,economist.N
edge,edge.V::g1s:g1p:g2s:g2p:g3p
edition,edition.N
editions,edition.N
educate,educate.V::g1s:g1p:g2s:g2p:g3p
education,education.N
educators,educator.N
effect,effect.V::g1s:g1p:g2s:g2p:g3p
effective,effective.N
effects,effect.V::g3s
efficient,efficient.ADJ
effort,effort.N
eggs,egg.V::g3s
ego,ego.N
either,either.PRO
elated,elate.V
elderly,elderly.ADJ
eldest,eldestold.ADJ
elected,elect.V
election,election.N
electrically,electrically.ADV
electric,electric.N
elementary,elementary.ADJ
element,element.N
elephants,elephant.N
else,else.ADV
elsewhere,elsewhere.ADV
elucidate,elucidate.V::g1s:g1p:g2s:g2p:g3p
elucidation,elucidation.N
elucidations,elucidation.N
embassy,embassy.N
embellish,embellish.V::g1s:g1p:g2s:g2p:g3p
embodied,embody.V
embody,embody.V::g1s:g1p:g2s:g2p:g3p
emergency,emergency.N
emphasis,emphasis.N
empty,empty.V::g1s:g1p:g2s:g2p:g3p
enable,enable.V::g1s:g1p:g2s:g2p:g3p
enclosed,enclose.V
enclose,enclose.V::g1s:g1p:g2s:g2p:g3p
enclosing,enclose.V
enclosure,enclosure.N
encourage,encourage.V::g1s:g1p:g2s:g2p:g3p
encourages,encourage.V::g3s
end,end.V::g1s:g1p:g2s:g2p:g3p
ending,end.V
endless,endless.ADJ
endorse,endorse.V::g1s:g1p:g2s:g2p:g3p
ends,end.V::g3s
endure,endure.V::g1s:g1p:g2s:g2p:g3p
enemies,enemy.N
en,en.N
energy,energy.N
engaged,engage.V
engine,engine.V::g1s:g1p:g2s:g2p:g3p
engineering,engineer.V
english,english.V::g1s:g1p:g2s:g2p:g3p
englishman,englishman.N
enjoyable,enjoyable.ADJ
enjoyed,enjoy.V
enjoy,enjoy.V::g1s:g1p:g2s:g2p:g3p
enjoying,enjoy.V
enjoyment,enjoyment.N
enlighten,enlighten.V::g1s:g1p:g2s:g2p:g3p
enormous,enormous.ADJ
enormously,enormously.ADV
enough,enough.ADV
enquire,enquire.V::g1s:g1p:g2s:g2p:g3p
enquiries,enquiry.N
enquiry,enquiry.N
entail,entail.V::g1s:g1p:g2s:g2p:g3p
entailment,entailment.N
enter,enter.V::g1s:g1p:g2s:g2p:g3p
entering,enter.V
enterprise,enterprise.N
enterprising,enterprising.ADJ
entertaining,entertain.V
enthusiasm,enthusiasm.N
entirely,entirely.ADV
entitled,entitle.V
entitle,entitle.V::g1s:g1p:g2s:g2p:g3p
entrance,entrance.V::g1s:g1p:g2s:g2p:g3p
envelope,envelope.V::g1s:g1p:g2s:g2p:g3p
envy,envy.V::g1s:g1p:g2s:g2p:g3p
epidemic,epidemic.N
epilogue,epilogue.N
equaled,equal.V
equal,equal.V::g1s:g1p:g2s:g2p:g3p
equally,equally.ADV
equation,equation.N
equilibrium,equilibrium.N
equipped,equip.V
equitable,equitable.ADJ
ergo,ergo.ADV
errors,error.V::g3s
erst,erst.ADV
escape,escape.V::g1s:g1p:g2s:g2p:g3p
es,e.N
especially,especially.ADV
essays,essay.V::g3s
essence,essence.N
essential,essential.N
essentially,essentially.ADV
ess,ess.N
esteemed,esteem.V
estimate,estimate.V::g1s:g1p:g2s:g2p:g3p
evacuees,evacuee.N
even,even.ADV
evening,even.V
evenings,evenings.ADV
event,event.N
events,event.N
eventually,eventually.ADV
ever,ever.ADV
everybody,everybody.PRO
everyday,everyday.ADJ
every,every.ADJ
everyone,everyone.PRO
everything,everything.PRO
evil,evil.N
evils,evil.N
exact,exact.V::g1s:g1p:g2s:g2p:g3p
exactly,exactly.ADV
exam,exam.N
examination,examination.N
examined,examine.V
examine,examine.V::g1s:g1p:g2s:g2p:g3p
examiner,examiner.N
examiners,examiner.N
example,example.V::g1s:g1p:g2s:g2p:g3p
examples,example.V::g3s
exams,exam.N
exasperated,exasperate.V
exasperate,exasperate.V::g1s:g1p:g2s:g2p:g3p
exceedingly,exceedingly.ADV
exceeds,exceed.V::g3s
excellence,excellence.N
excellent,excellent.ADJ
excellently,excellently.ADV
exceptional,exceptional.ADJ
exceptionally,exceptionally.ADV
exception,exception.N
exchanged,exchange.V
exchange,exchange.V::g1s:g1p:g2s:g2p:g3p
excitable,excitable.ADJ
excitement,excitement.N
excitements,excitement.N
exclusively,exclusively.ADV
excursion,excursion.N
excuse,excuse.V::g1s:g1p:g2s:g2p:g3p
executive,executive.N
executors,executor.N
exemption,exemption.N
exhausted,exhaust.V
exhaust,exhaust.V::g1s:g1p:g2s:g2p:g3p
exhaustion,exhaustion.N
exhausts,exhaust.V::g3s
exhibition,exhibition.N
exigencies,exigency.N
existed,exist.V
existence,existence.N
exist,exist.V::g1s:g1p:g2s:g2p:g3p
existing,exist.V
exists,exist.V::g3s
expected,expect.V
expect,expect.V::g1s:g1p:g2s:g2p:g3p
expecting,expect.V
expects,expect.V::g3s
expense,expense.N
expenses,expense.N
expensive,expensive.ADJ
experienced,experience.V
experience,experience.V::g1s:g1p:g2s:g2p:g3p
experiences,experience.V::g3s
expert,expert.V::g1s:g1p:g2s:g2p:g3p
expired,expire.V
explained,explain.V
explain,explain.V::g1s:g1p:g2s:g2p:g3p
explaining,explain.V
explains,explain.V::g3s
explanation,explanation.N
explanations,explanation.N
explicit,explicit.ADJ
exploits,exploit.V::g3s
expressed,express.V
expresses,express.V::g3s
express,express.ADV
expressing,express.V
expression,expression.N
expressions,expression.N
exquisite,exquisite.N
extend,extend.V::g1s:g1p:g2s:g2p:g3p
extension,extension.N
extent,extent.N
external,external.N
externally,externally.ADV
extract,extract.V::g1s:g1p:g2s:g2p:g3p
extra,extra.ADV
extraordinarily,extraordinarily.ADV
extraordinary,extraordinary.ADJ
extreme,extreme.N
extremely,extremely.ADV
eye,eye.V::g1s:g1p:g2s:g2p:g3p
eyes,eye.V::g3s
face,face.V::g1s:g1p:g2s:g2p:g3p
faces,face.V::g3s
facility,facility.N
fact,fact.N
factory,factory.N
facts,fact.N
faculty,faculty.N
fa,fa.N
failed,fail.V
fail,fail.V::g1s:g1p:g2s:g2p:g3p
failures,failure.N
faintest,faint.ADJ
fair,fair.ADV
fairly,fairly.ADV
fairness,fairness.N
fairy,fairy.N
faithful,faithful.N
fallen,fall.V
fall,fall.V::g1s:g1p:g2s:g2p:g3p
falling,fall.V
falls,fall.V::g3s
false,false.ADV
falsehood,falsehood.N
falsely,falsely.ADV
falsity,falsity.N
family,family.N
famous,famous.ADJ
fancy,fancy.V::g1s:g1p:g2s:g2p:g3p
fantastic,fantastic.N
farce,farce.V::g1s:g1p:g2s:g2p:g3p
fare,fare.V::g1s:g1p:g2s:g2p:g3p
far,far.ADV
farm,farm.V::g1s:g1p:g2s:g2p:g3p
farmhouse,farmhouse.N
fashionable,fashionable.N
fashion,fashion.V::g1s:g1p:g2s:g2p:g3p
fast,fast.ADV
fatal,fatal.ADJ
fatalistic,fatalistic.ADJ
fate,fate.V::g1s:g1p:g2s:g2p:g3p
fat,fat.V::g1s:g1p:g2s:g2p:g3p
father,father.V::g1s:g1p:g2s:g2p:g3p
fatherly,fatherly.ADV
fathers,father.V::g3s
fatter,fat.ADJ
fault,fault.V::g1s:g1p:g2s:g2p:g3p
faults,fault.V::g3s
faulty,faulty.ADJ
favorable,favorable.ADJ
favourable,favourable.ADJ
favour,favour.V::g1s:g1p:g2s:g2p:g3p
favourites,favourite.N
feared,fear.V
fear,fear.V::g1s:g1p:g2s:g2p:g3p
fearfully,fearfully.ADV
fears,fear.V::g3s
features,feature.V::g3s
feelers,feeler.N
feel,feel.V::g1s:g1p:g2s:g2p:g3p
feeling,feel.V
feelings,feeling.N
feels,feel.V::g3s
fees,fee.N
feet,foot.N
fell,fall.V
fellow,fellow.N
fellowmen,fellowman.N
fellowship,fellowship.V::g1s:g1p:g2s:g2p:g3p
fellowships,fellowship.V::g3s
felt,feel.V
female,female.N
fermenting,ferment.V
ferments,ferment.V::g3s
fern,fern.N
fertile,fertile.ADJ
fest,fest.N
fetch,fetch.V::g1s:g1p:g2s:g2p:g3p
fetching,fetch.V
fever,fever.N
feverishly,feverishly.ADV
few,few.PRO
fiat,fiat.N
fickleness,fickleness.N
fiction,fiction.N
field,field.V::g1s:g1p:g2s:g2p:g3p
fifty,fifty.N
fight,fight.V::g1s:g1p:g2s:g2p:g3p
figs,fig.N
figure,figure.V::g1s:g1p:g2s:g2p:g3p
figures,figure.V::g3s
film,film.V::g1s:g1p:g2s:g2p:g3p
films,film.V::g3s
final,final.N
finally,finally.ADV
finance,finance.V::g1s:g1p:g2s:g2p:g3p
finances,finance.V::g3s
financial,financial.ADJ
find,find.V::g1s:g1p:g2s:g2p:g3p
finding,find.V
fine,fine.ADV
finger,finger.V::g1s:g1p:g2s:g2p:g3p
finished,finish.V
finish,finish.V::g1s:g1p:g2s:g2p:g3p
finite,finite.N
fiord,fiord.N
fire,fire.V::g1s:g1p:g2s:g2p:g3p
fireplace,fireplace.N
fires,fire.V::g3s
firm,firm.ADV
firms,firm.V::g3s
first,first.ADV
firstly,firstly.ADV
fish,fish.V::g1s:g1p:g2s:g2p:g3p
fishing,fish.V
fishy,fishy.ADJ
fit,fit.V::g1s:g1p:g2s:g2p:g3p
fits,fit.V::g3s
fittings,fitting.N
five,five.N
fixed,fix.V
fixing,fix.V
fjord,fjord.N
flat,flat.ADV
flatter,flatter.V::g1s:g1p:g2s:g2p:g3p
flattering,flatter.V
flew,fly.V
flexible,flexible.ADJ
flippant,flippant.ADJ
floor,floor.V::g1s:g1p:g2s:g2p:g3p
flora,flora.N
flourishes,flourish.V::g3s
flowers,flower.V::g3s
flue,flue.N
flu,flu.N
fly,fly.V::g1s:g1p:g2s:g2p:g3p
flying,fly.V
followed,follow.V
follow,follow.V::g1s:g1p:g2s:g2p:g3p
follows,follow.V::g3s
fond,fond.N
fons,fons.N
food,food.N
fooled,fool.V
fool,fool.V::g1s:g1p:g2s:g2p:g3p
foolish,foolish.ADJ
foolishly,foolishly.ADV
foolishness,foolishness.N
foolscap,foolscap.N
fools,fool.V::g3s
foot,foot.V::g1s:g1p:g2s:g2p:g3p
footnote,footnote.V::g1s:g1p:g2s:g2p:g3p
forced,force.V
force,force.V::g1s:g1p:g2s:g2p:g3p
forceful,forceful.ADJ
forcefully,forcefully.ADV
forces,force.V::g3s
forcing,force.V
forecast,forecast.V::g1s:g1p:g2s:g2p:g3p
foreground,foreground.N
foreigner,foreigner.N
foreign,foreign.ADJ
forelegs,foreleg.N
forest,forest.V::g1s:g1p:g2s:g2p:g3p
forget,forget.V::g1s:g1p:g2s:g2p:g3p
forgive,forgive.V::g1s:g1p:g2s:g2p:g3p
forgiven,forgive.V
forgot,forget.V
forgotten,forget.V
formal,formal.N
former,former.N
formerly,formerly.ADV
form,form.V::g1s:g1p:g2s:g2p:g3p
forms,form.V::g3s
formulae,formula.N
formula,formula.N
formulate,formulate.V::g1s:g1p:g2s:g2p:g3p
formulations,formulation.N
forte,forte.ADV
fort,fort.V::g1s:g1p:g2s:g2p:g3p
fortnight,fortnight.N
forwarded,forward.V
forward,forward.ADV
forwarding,forward.V
fought,fight.V
foul,foul.ADV
foundation,foundation.N
foundations,foundation.N
found,find.V
four,four.N
fourth,fourth.ADV
fractionally,fractionally.ADV
fra,fra.N
fragmentary,fragmentary.ADJ
fragments,fragment.V::g3s
frame,frame.V::g1s:g1p:g2s:g2p:g3p
frank,frank.V::g1s:g1p:g2s:g2p:g3p
frankly,frankly.ADV
frankness,frankness.N
frayed,fray.V
freedom,freedom.N
free,free.ADV
freely,freely.ADV
freer,freer.N
french,french.V::g1s:g1p:g2s:g2p:g3p
frequent,frequent.V::g1s:g1p:g2s:g2p:g3p
frequently,frequently.ADV
fresh,fresh.ADV
friction,friction.N
friend,friend.V::g1s:g1p:g2s:g2p:g3p
friendliness,friendliness.N
friendly,friendly.ADV
friends,friend.V::g3s
friendship,friendship.N
frightful,frightful.ADJ
frightfully,frightfully.ADV
frisk,frisk.V::g1s:g1p:g2s:g2p:g3p
frivolous,frivolous.ADJ
front,front.ADV
frozen,freeze.V
frugal,frugal.ADJ
fruit,fruit.V::g1s:g1p:g2s:g2p:g3p
fruitful,fruitful.ADJ
fruitless,fruitless.ADJ
fulfilled,fulfil.V
fuller,fuller.N
full,full.ADV
function,function.V::g1s:g1p:g2s:g2p:g3p
functioning,function.V
functions,function.V::g3s
fundamental,fundamental.N
fundamentally,fundamentally.ADV
fund,fund.V::g1s:g1p:g2s:g2p:g3p
fun,fun.V::g1s:g1p:g2s:g2p:g3p
funicular,funicular.N
funky,funky.ADJ
furnished,furnish.V
furnishing,furnish.V
furniture,furniture.N
further,far.ADV
fuss,fuss.V::g1s:g1p:g2s:g2p:g3p
futile,futile.ADJ
future,future.N
gab,gab.V::g1s:g1p:g2s:g2p:g3p
gall,gall.V::g1s:g1p:g2s:g2p:g3p
galvanometer,galvanometer.N
gamble,gamble.V::g1s:g1p:g2s:g2p:g3p
gang,gang.V::g1s:g1p:g2s:g2p:g3p
garden,garden.V::g1s:g1p:g2s:g2p:g3p
gardening,garden.V
garment,garment.V::g1s:g1p:g2s:g2p:g3p
gastric,gastric.ADJ
gate,gate.V::g1s:g1p:g2s:g2p:g3p
gates,gate.V::g3s
gathered,gather.V
gather,gather.V::g1s:g1p:g2s:g2p:g3p
gathering,gather.V
gathers,gather.V::g3s
gave,give.V
gems,gem.V::g3s
general,general.N
generality,generality.N
generalization,generalization.N
generally,generally.ADV
generosity,generosity.N
generous,generous.ADJ
gentlemen,gentleman.N
genuinely,genuinely.ADV
german,german.N
gestalten,gestalt.N
gesture,gesture.V::g1s:g1p:g2s:g2p:g3p
gestures,gesture.V::g3s
get,get.V::g1s:g1p:g2s:g2p:g3p
gets,get.V::g3s
getting,get.V
gib,gib.V::g1s:g1p:g2s:g2p:g3p
gift,gift.V::g1s:g1p:g2s:g2p:g3p
gifts,gift.V::g3s
gilt,gild.V
girl,girl.N
gist,gist.N
give,give.V::g1s:g1p:g2s:g2p:g3p
given,give.V
gives,give.V::g3s
giving,give.V
glade,glade.N
glad,glad.N
gladly,gladly.ADV
gladness,gladness.N
gladsome,gladsome.ADJ
glanced,glance.V
glandular,glandular.ADJ
glass,glass.V::g1s:g1p:g2s:g2p:g3p
gloating,gloat.V
glorious,glorious.ADJ
gloss,gloss.V::g1s:g1p:g2s:g2p:g3p
glow,glow.V::g1s:g1p:g2s:g2p:g3p
glucose,glucose.N
glued,glue.V
goal,goal.V::g1s:g1p:g2s:g2p:g3p
god,god.V::g1s:g1p:g2s:g2p:g3p
goes,go.V::g3s
go,go.V::g1s:g1p:g2s:g2p:g3p
going,go.V
golden,golden.ADJ
gold,gold.N
gone,go.V
good,good.ADV
goods,good.N
gorgeous,gorgeous.ADJ
gospels,gospel.N
gossip,gossip.V::g1s:g1p:g2s:g2p:g3p
got,get.V
government,government.N
gracious,gracious.ADJ
graciously,graciously.ADV
grade,grade.V::g1s:g1p:g2s:g2p:g3p
gradually,gradually.ADV
grain,grain.V::g1s:g1p:g2s:g2p:g3p
gram,gram.N
grandchildren,grandchild.N
grand,grand.ADJ
grandparents,grandparent.N
granted,grant.V
grant,grant.V::g1s:g1p:g2s:g2p:g3p
granting,grant.V
grants,grant.V::g3s
grasp,grasp.V::g1s:g1p:g2s:g2p:g3p
grateful,grateful.ADJ
gratifying,gratify.V
gratitude,gratitude.N
grave,grave.ADV
graver,graver.N
gravitation,gravitation.N
greater,great.ADJ
greatest,great.ADJ
great,great.ADV
greatly,greatly.ADV
greatness,greatness.N
green,green.V::g1s:g1p:g2s:g2p:g3p
greenhorn,greenhorn.N
greetings,greeting.N
grey,grey.V::g1s:g1p:g2s:g2p:g3p
groceries,grocery.N
groomed,groom.V
gross,gross.V::g1s:g1p:g2s:g2p:g3p
ground,grind.V
grounds,ground.V::g3s
group,group.V::g1s:g1p:g2s:g2p:g3p
grow,grow.V::g1s:g1p:g2s:g2p:g3p
growing,grow.V
grown,grow.V
grudge,grudge.V::g1s:g1p:g2s:g2p:g3p
grumble,grumble.V::g1s:g1p:g2s:g2p:g3p
guard,guard.V::g1s:g1p:g2s:g2p:g3p
guessed,guess.V
guess,guess.V::g1s:g1p:g2s:g2p:g3p
guest,guest.V::g1s:g1p:g2s:g2p:g3p
guesthouse,guesthouse.N
guests,guest.V::g3s
guided,guide.V
gut,gut.V::g1s:g1p:g2s:g2p:g3p
had,have.V
ha,ha.ADJ
