a,a.DET:4
approximately,approximately.ADV
apt,apt.ADJ
arbitrary,arbitrary.ADJ
architecture,architecture.N
are,arebe.V::g1p:g2s:g2p:g3p
argument,argument.N
arise,arise.V::g1s:g1p:g2s:g2p:g3p
arms,arm.V::g3s
army,army.N
around,around.ADV
arouse,arouse.V::g1s:g1p:g2s:g2p:g3p
arrange,arrange.V::g1s:g1p:g2s:g2p:g3p
arranged,arrange.V
arrangement,arrangement.N
arrangements,arrangement.N
arrival,arrival.N
arrive,arrive.V::g1s:g1p:g2s:g2p:g3p
arrived,arrive.V
arrives,arrive.V::g3s
arriving,arrive.V
arrogant,arrogant.ADJ
arrow,arrow.N
arrows,arrow.N
art,art.N
article,article.V::g1s:g1p:g2s:g2p:g3p
articles,article.V::g3s
articulate,articulate.V::g1s:g1p:g2s:g2p:g3p
articulated,articulate.V
artificial,artificial.ADJ
arts,art.N
ashamed,ashamed.ADJ
ask,ask.V::g1s:g1p:g2s:g2p:g3p
asked,ask.V
asking,ask.V
asks,ask.V::g3s
asleep,asleep.ADV
aspect,aspect.N
aspects,aspect.N
ass,ass.V::g1s:g1p:g2s:g2p:g3p
assert,assert.V::g1s:g1p:g2s:g2p:g3p
asserted,assert.V
assertion,assertion.N
assigned,assign.V
assimilated,assimilate.V
assistance,assistance.N
assistant,assistant.N
assist,assist.V::g1s:g1p:g2s:g2p:g3p
assume,assume.V::g1s:g1p:g2s:g2p:g3p
assumed,assume.V
assuming,assume.V
assumption,assumption.N
assumptions,assumption.N
asthma,asthma.N
astonished,astonish.V
astonishingly,astonishingly.ADV
astoundingly,astoundingly.ADV
astrology,astrology.N
atmosphere,atmosphere.N
atomic,atomic.ADJ
attach,attach.V::g1s:g1p:g2s:g2p:g3p
attached,attach.V
attack,attack.V::g1s:g1p:g2s:g2p:g3p
attacker,attacker.N
attacks,attack.V::g3s
attain,attain.V::g1s:g1p:g2s:g2p:g3p
attempt,attempt.V::g1s:g1p:g2s:g2p:g3p
attend,attend.V::g1s:g1p:g2s:g2p:g3p
attended,attend.V
attending,attend.V
attention,attention.N
attitude,attitude.N
attorney,attorney.N
attract,attract.V::g1s:g1p:g2s:g2p:g3p
attractive,attractive.ADJ
attracts,attract.V::g3s
attributes,attribute.V::g3s
audience,audience.N
aunt,aunt.N
author,author.V::g1s:g1p:g2s:g2p:g3p
authorised,authorise.V
authorities,authority.N
authority,authority.N
authors,author.V::g3s
autograph,autograph.V::g1s:g1p:g2s:g2p:g3p
automatically,automatically.ADV
autumn,autumn.N
average,average.V::g1s:g1p:g2s:g2p:g3p
avert,avert.V::g1s:g1p:g2s:g2p:g3p
avoid,avoid.V::g1s:g1p:g2s:g2p:g3p
avoided,avoid.V
awake,awake.V::g1s:g1p:g2s:g2p:g3p
aware,aware.ADJ
away,away.ADV
awful,awful.ADV
awfully,awfully.ADV
awkward,awkward.ADJ
awkwardness,awkwardness.N
ax,ax.V::g1s:g1p:g2s:g2p:g3p
axiom,axiom.N
axioms,axiom.N
baby,baby.V::g1s:g1p:g2s:g2p:g3p
back,back.ADV
background,background.V::g1s:g1p:g2s:g2p:g3p
backing,back.V
bad,bad.ADV
bade,bid.V
badly,badly.ADV
bag,bag.V::g1s:g1p:g2s:g2p:g3p
bake,bake.V::g1s:g1p:g2s:g2p:g3p
bald,bald.V::g1s:g1p:g2s:g2p:g3p
bandages,bandage.V::g3s
bang,bang.ADV
bank,bank.V::g1s:g1p:g2s:g2p:g3p
bankrupt,bankrupt.V::g1s:g1p:g2s:g2p:g3p
bankruptcy,bankruptcy.N
baptised,baptise.V
baptized,baptize.V
bare,bare.V::g1s:g1p:g2s:g2p:g3p
bargain,bargain.V::g1s:g1p:g2s:g2p:g3p
barn,barn.N
barre,barre.N
barred,bar.V
based,base.V
basis,basis.N
bat,bat.V::g1s:g1p:g2s:g2p:g3p
bear,bear.V::g1s:g1p:g2s:g2p:g3p
beard,beard.V::g1s:g1p:g2s:g2p:g3p
beast,beast.N
beastliness,beastliness.N
beastly,beastly.ADV
beat,beat.V::g1s:g1p:g2s:g2p:g3p
beats,beat.V::g3s
beautiful,beautiful.ADJ
beautifully,beautifully.ADJ
be,be.V
became,become.V
become,become.V::g1s:g1p:g2s:g2p:g3p
becomes,become.V::g3s
becoming,become.V
bed,bed.V::g1s:g1p:g2s:g2p:g3p
bedroom,bedroom.N
beef,beef.V::g1s:g1p:g2s:g2p:g3p
been,be.V
beforehand,beforehand.ADV
began,begin.V
beg,beg.V::g1s:g1p:g2s:g2p:g3p
begging,beg.V
begin,begin.V::g1s:g1p:g2s:g2p:g3p
beginning,begin.V
begins,begin.V::g3s
beguiled,beguile.V
begun,begin.V
behalf,behalf.N
behaved,behave.V
behaving,behave.V
behaviour,behaviour.N
behind,behind.ADV
behold,behold.V::g1s:g1p:g2s:g2p:g3p
being,be.V
beings,being.N
belated,belated.ADJ
belief,belief.N
believe,believe.V::g1s:g1p:g2s:g2p:g3p
believed,believe.V
believing,believe.V
bell,bell.V::g1s:g1p:g2s:g2p:g3p
bells,bell.V::g3s
belong,belong.V::g1s:g1p:g2s:g2p:g3p
belonging,belong.V
belongs,belong.V::g3s
below,below.ADV
benefactions,benefaction.N
benefactor,benefactor.N
benefit,benefit.V::g1s:g1p:g2s:g2p:g3p
besides,besides.ADV
best,bestgood.ADV
bestow,bestow.V::g1s:g1p:g2s:g2p:g3p
better,bettergood.ADV
between,between.ADV
beware,beware.V::g1s:g1p:g2s:g2p:g3p
bewildered,bewilder.V
bewilders,bewilder.V::g3s
beyond,beyond.ADV
big,big.ADV
bigger,big.ADJ
bill,bill.V::g1s:g1p:g2s:g2p:g3p
bills,bill.V::g3s
bin,bin.V::g1s:g1p:g2s:g2p:g3p
biography,biography.N
bipolarity,bipolarity.N
birds,bird.V::g3s
birth,birth.V::g1s:g1p:g2s:g2p:g3p
birthday,birthday.N
bis,bis.ADV
bit,bite.V
bite,bite.V::g1s:g1p:g2s:g2p:g3p
bits,bit.V::g3s
bitten,bite.V
bitter,bitter.ADV
black,black.V::g1s:g1p:g2s:g2p:g3p
bladder,bladder.N
blame,blame.V::g1s:g1p:g2s:g2p:g3p
blameworthy,blameworthy.ADJ
blaming,blame.V
blank,blank.V::g1s:g1p:g2s:g2p:g3p
blasé,blasé.ADJ
blast,blast.V::g1s:g1p:g2s:g2p:g3p
bless,bless.V::g1s:g1p:g2s:g2p:g3p
blessing,bless.V
blind,blind.ADV
blithering,blither.V
blood,blood.V::g1s:g1p:g2s:g2p:g3p
bloodiest,bloody.ADJ
bloodily,bloodily.ADV
bloodiness,bloodiness.N
bloody,bloody.V::g1s:g1p:g2s:g2p:g3p
blow,blow.V::g1s:g1p:g2s:g2p:g3p
blowing,blow.V
blows,blow.V::g3s
blunt,blunt.V::g1s:g1p:g2s:g2p:g3p
bluntly,bluntly.ADV
board,board.V::g1s:g1p:g2s:g2p:g3p
boat,boat.V::g1s:g1p:g2s:g2p:g3p
bodies,body.V::g3s
bodily,bodily.ADV
body,body.V::g1s:g1p:g2s:g2p:g3p
bombarding,bombard.V
bone,bone.V::g1s:g1p:g2s:g2p:g3p
bones,bone.V::g3s
book,book.V::g1s:g1p:g2s:g2p:g3p
booked,book.V
books,book.V::g3s
bookseller,bookseller.N
booksellers,bookseller.N
bookshop,bookshop.N
boots,boot.V::g3s
bore,bear.V
bored,bore.V
boredom,boredom.N
boring,bore.V
born,born.ADJ
bosh,bosh.N
boss,boss.V::g1s:g1p:g2s:g2p:g3p
both,both.PRO
bother,bother.V::g1s:g1p:g2s:g2p:g3p
bothered,bother.V
bottle,bottle.V::g1s:g1p:g2s:g2p:g3p
bottles,bottle.V::g3s
bottom,bottom.V::g1s:g1p:g2s:g2p:g3p
bought,buy.V
bound,bind.V
bounded,bound.V
bout,bout.N
box,box.V::g1s:g1p:g2s:g2p:g3p
boxes,box.V::g3s
boxing,box.V
boy,boy.N
boys,boy.N
bra,bra.N
bracket,bracket.V::g1s:g1p:g2s:g2p:g3p
brackets,bracket.V::g3s
brain,brain.V::g1s:g1p:g2s:g2p:g3p
brains,brain.V::g3s
brake,brake.V::g1s:g1p:g2s:g2p:g3p
branch,branch.V::g1s:g1p:g2s:g2p:g3p
braver,braver.N
break,break.V::g1s:g1p:g2s:g2p:g3p
breakdown,breakdown.N
breakfast,breakfast.N
breaking,break.V
