Aar,Aar.N:m
Einer,Einer.N:m
eines,eines.DET
einfache,einfach.ADJ
Einfache,Einfache.N
einfach,einfach.ADJ
einfachen,einfach.ADJ
Einfachen,Einfache.N
einfachste,einfach.ADJ
Einfachste,Einfache.N
Einfälle,Einfall.N:m
einfall,einfallen.V#3
Einfall,Einfall.N:m
Einfallen,Einfallen.N:4sn:3sn:1sn
einfallen,einfallen.V#3
einfällt,einfallen.V#3
einfiel,einfallen.V#3
einförmig,einförmig.ADJ
einführen,einfahren.V#3
Einführen,Einführen.N:4sn:3sn:1sn
Einführung,Einführung.N:4sf:3sf:2sf:1sf
eingearbeitet,eingearbeitet.ADJ
eingebildeten,eingebildet.ADJ
Eingebildeten,Eingebildete.N
eingebrochen,einbrechen.V#3
eingedenk,eingedenk.ADJ
eingefallen,einfallen.V#3
eingeführt,einführen.V#3
eingefunden,einfinden.V#3
eingegangen,eingehen.V#3
eingehe,eingehen.V#3
eingeheimst,einheimsen.V#3
eingehender,eingehend.ADJ
Eingehender,Eingehende.N
eingehenderen,eingehend.ADJ
Eingehenderen,Eingehende.N
eingehendes,eingehend.ADJ
Eingehendes,Eingehende.N
eingejagt,einjagen.V#3
eingelangt,einlangen.V#3
eingeliefert,einliefern.V#3
eingelocht,einlochen.V#3
eingelöst,einlösen.V#3
eingemacht,einmachen.V#3
eingepackt,einpacken.V#3
eingerichtet,einrichten.V#3
eingerückt,einrücken.V#3
eingeschickt,einschicken.V#3
eingeschneit,einschneien.V#3
eingesetzte,eingesetzt.ADJ
Eingesetzte,Eingesetzte.N
eingeteilt,einteilen.V#3
eingetragen,eintragen.V#3
eingetreten,eintreten.V#3
eingetretener,eingetreten.ADJ
Eingetretener,Eingetretene.N
eingetroffene,eingetroffen.ADJ
Eingetroffene,Eingetroffene.N
eingetroffen,eintreffen.V#3
eingetroffenen,eingetroffen.ADJ
Eingetroffenen,Eingetroffene.N
eingeweiht,einweihen.V#3
eingezogen,einziehen.V#3
einheimische,einheimisch.ADJ
Einheimische,Einheimische.N
Einheizen,Einheizen.N:4sn:3sn:1sn
einheizen,einheizen.V#3
Einholen,Einholen.N:4sn:3sn:1sn
einholen,einholen.V#3
einige,einigen.V
Einige,Einige.N
einigem,einigem.ADJ
Einigem,Einigem.N
einigen,einigen.V
Einigen,Einigen.N
einiger,einiger.ADJ
Einiger,Einiger.N
einigermaßen,einigermaßen.CONJS
einiges,einiges.ADJ
Einiges,Einiges.N
Einigung,Einigung.N:4sf:3sf:2sf:1sf
einjagte,einjagen.V#3
Einklang,Einklang.N:m
einklang,einklingen.V#3
Einladen,Einladen.N:4sn:3sn:1sn
einladen,einladen.V#3
einlädst,einladen.V#3
Einladung,Einladung.N:4sf:3sf:2sf:1sf
Einladungen,Einladung.N:4pf:3pf:2pf:1pf
einlasse,einlassen.V#3
Einlasse,Einlaß.N:3sm
Einlaufen,Einlaufen.N:4sn:3sn:1sn
einlaufen,einlaufen.V#3
Einleitung,Einleitung.N:4sf:3sf:2sf:1sf
einlüde,einladen.V#3
einmal,einmal.CONJS
Einnahmen,Einnahme.N
einnahmen,einnehmen.V#3
einnehme,einnehmen.V#3
Einnehmen,Einnehmen.N:4sn:3sn:1sn
einnehmen,einnehmen.V#3
einräume,einräumen.V#3
Einräume,Einraum.N:m
Einreichen,Einreichen.N:4sn:3sn:1sn
einreichen,einreichen.V#3
einreise,einreisen.V#3
Einrichten,Einrichten.N:4sn:3sn:1sn
einrichten,einrichten.V#3
Einrichtung,Einrichtung.N:4sf:3sf:2sf:1sf
Einrichtungs,Einrichtung.N
Einrücken,Einrücken.N:4sn:3sn:1sn
einrücken,einrücken.V#3
einrückt,einrücken.V#3
einsah,einsehen.V#3
einsam,einsam.ADJ
einsamen,einsam.ADJ
Einsamen,Einsame.N
Einsamkeit,Einsamkeit.N:4sf:3sf:2sf:1sf
Einschätzung,Einschätzung.N:4sf:3sf:2sf:1sf
eins,eins.ADJ
Eins,Eins.N:f
Einsicht,Einsicht.N:f
Einspruch,Einspruch.N:m
Einstecken,Einstecken.N:4sn:3sn:1sn
einstecken,einstecken.V#3
einstehe,einstehen.V#3
einst,einen.V
Einst,Einst.N:n
Einstellen,Einstellen.N:4sn:3sn:1sn
einstellen,einstellen.V#3
Einstellung,Einstellung.N:4sf:3sf:2sf:1sf
eintraf,eintreffen.V#3
Eintragen,Eintragen.N:4sn:3sn:1sn
eintragen,eintragen.V#3
einträgliche,einträglich.ADJ
Einträgliche,Einträgliche.N
eintreffenden,eintreffend.ADJ
Eintreffenden,Eintreffende.N
Eintreffen,Eintreffen.N:4sn:3sn:1sn
eintreffen,eintreffen.V#3
Eintreten,Eintreten.N:4sn:3sn:1sn
eintreten,eintreten.V#3
eintrifft,eintreffen.V#3
eintritt,eintreten.V#3
Eintritt,Eintritt.N:m
Einübung,Einübung.N:4sf:3sf:2sf:1sf
Einwenden,Einwenden.N:4sn:3sn:1sn
einwenden,einwenden.V#3
Einwickeln,Einwickeln.N:4sn:3sn:1sn
einwickeln,einwickeln.V#3
einwilligt,einwilligen.V#3
Einwilligung,Einwilligung.N:4sf:3sf:2sf:1sf
einwirkt,einwirken.V#3
Einzelheiten,Einzelheit.N:4pf:3pf:2pf:1pf
Einzeln,Einzel.N:3pn
einzeln,einzeln.ADJ
einzelnen,einzeln.ADJ
Einzelnen,Einzelne.N
Einziehen,Einziehen.N:4sn:3sn:1sn
einziehen,einziehen.V#3
einzige,einzig.ADJ
Einzige,Einzige.N
einzig,einzig.ADJ
einzigen,einzig.ADJ
Einzigen,Einzige.N
einzuführen,einführen.V#3
einzuhalten,einhalten.V#3
einzukehren,einkehren.V#3
einzuladen,einladen.V#3
einzureichen,einreichen.V#3
einzurichten,einrichten.V#3
einzurücken,einrücken.V#3
einzuschieben,einzuschiebenschieben.V#3
einzusehen,einsehen.V#3
einzusetzen,einsetzen.V#3
einzutreffen,eintreffen.V#3
einzuziehen,einziehen.V#3
Eis,Eis.N:n
eis,eisen.V
Eisen,Eisen.N:n
eisen,eisen.V
Eitelkeit,Eitelkeit.N:4sf:3sf:2sf:1sf
Eitelkeits,Eitelkeit.N
eiternd,eitern.V
eiternden,eiternd.ADJ
Eiternden,Eiternde.N
ekel,ekeln.V
Ekel,Ekel.N:m
ekelhafte,ekelhaft.ADJ
Ekelhafte,Ekelhafte.N
ekelhaften,ekelhaft.ADJ
Ekelhaften,Ekelhafte.N
Elegien,Elegie.N
elektrischem,elektrisch.ADJ
Elektrischem,Elektrische.N
elektrischen,elektrisch.ADJ
Elektrischen,Elektrische.N
elementare,elementar.ADJ
Elementare,Elementare.N
elementar,elementar.ADJ
Element,Element.N:n
elende,elend.ADJ
Elende,Elende.N
elend,elend.ADJ
Elend,Elend.N:4sn:3sn:1sn
elenden,elend.ADJ
Elenden,Elende.N
Elle,Elle.N:f
Ellen,Elle.N
Eller,Eller.N:f
Eltern,Elter.N
Emden,Emden.N:4sn:3sn:1sn
emden,emden.V
eminent,eminent.ADJ
empfand,empfinden.V
empfanden,empfinden.V
empfang,empfangen.V
Empfang,Empfang.N:4sm:3sm:1sm
empfangen,empfangen.V
Empfangen,Empfangen.N:4sn:3sn:1sn
Empfänger,Empfänger.N:m
empfehle,empfehlen.V
Empfehlen,Empfehlen.N:4sn:3sn:1sn
empfehlen,empfehlen.V
Empfehlung,Empfehlung.N:4sf:3sf:2sf:1sf
Empfehlungen,Empfehlung.N:4pf:3pf:2pf:1pf
empfinde,empfinden.V
Empfinden,Empfinden.N:4sn:3sn:1sn
empfinden,empfinden.V
Empfindens,Empfinden.N
empfindet,empfinden.V
Empfindlichkeit,Empfindlichkeit.N:4sf:3sf:2sf:1sf
Empfindung,Empfindung.N:4sf:3sf:2sf:1sf
empfunden,empfunden.ADJ
Ende,Ende.N:n
ende,enden.V
End,Ende.N
end,enden.V
Enden,Enden.N:4sn:3sn:1sn
enden,enden.V
endete,enden.V
endlich,endlich.ADJ
endlichen,endlich.ADJ
Endlichen,Endliche.N
endlos,endlos.ADJ
Energie,Energie.N:f
Engagement,Engagement.N:n
Engelein,Engelein.N:n
Engel,Engel.N:4sm:4pm:3sm:2pm:1sm:1pm
Engeln,Engel.N:3pm
engerer,eng.ADJ
Engerer,Enge.N
Engineering,Engineering.N:n
England,England.N:4sn:3sn:1sn
Engländer,Engländer.N:4sm:4pm:3sm:2pm:1sm:1pm
englische,englisch.ADJ
Englische,Englische.N
englischen,englisch.ADJ
Englischen,Englische.N
englisch,englisch.ADJ
englischer,englisch.ADJ
Englischer,Englische.N
englisches,englisch.ADJ
Englisches,Englische.N
enormen,enorm.ADJ
Enormen,Enorme.N
enorm,enorm.ADJ
enormer,enorm.ADJ
Enormer,Enorme.N
Ensemble,Ensemble.N:n
Entbehren,Entbehren.N:4sn:3sn:1sn
entbehren,entbehren.V
Entbehrungen,Entbehrung.N:4pf:3pf:2pf:1pf
Entbindung,Entbindung.N:4sf:3sf:2sf:1sf
Entbrechen,Entbrechen.N:4sn:3sn:1sn
entbrechen,entbrechen.V
entdeckt,entdecken.V
Entdeckungen,Entdeckung.N:4pf:3pf:2pf:1pf
Entdeckung,Entdeckung.N:4sf:3sf:2sf:1sf
Enter,Enter.N:m
enter,entern.V
entfallenden,entfallend.ADJ
Entfallenden,Entfallende.N
entfernt,entfernen.V
entfernter,entfernt.ADJ
Entfernter,Entfernte.N
Entfremdung,Entfremdung.N:4sf:3sf:2sf:1sf
entgangen,entgehen.V
entgegenbrachten,entgegenbringen.V#8
Entgegenbringen,Entgegenbringen.N:4sn:3sn:1sn
entgegenbringen,entgegenbringen.V#8
entgegen,entgegnen.V
entgegengesetzten,entgegengesetzt.ADJ
Entgegengesetzten,Entgegengesetzte.N
entgegengesetzt,entgegensetzen.V#8
Entgegenkommens,Entgegenkommen.N
Entgegenstehen,Entgegenstehen.N:4sn:3sn:1sn
entgegenstehen,entgegenstehen.V#8
entgegenzukommen,entgegenkommen.V#8
enthalten,enthalten.V
Enthalten,Enthalten.N:4sn:3sn:1sn
enthält,enthalten.V
enthielt,enthalten.V
entkräftet,entkräften.V
entlarvten,entlarven.V
Entlarvten,Entlarvte.N
entledigt,entledigen.V
Entleerung,Entleerung.N:4sf:3sf:2sf:1sf
entlegeneren,entlegen.ADJ
entnahm,entnehmen.V
entnehme,entnehmen.V
Entnehmen,Entnehmen.N:4sn:3sn:1sn
entnehmen,entnehmen.V
entnimmt,entnehmen.V
entnommen,entnehmen.V
entpuppte,entpuppen.V
Entpuppte,Entpuppte.N
Enträtseln,Enträtseln.N:4sn:3sn:1sn
enträtseln,enträtseln.V
entreißt,entreißen.V
entrinnt,entrinnen.V
entrückt,entrücken.V
entschädigt,entschädigen.V
Entschädigung,Entschädigung.N:4sf:3sf:2sf:1sf
entscheidende,entscheidend.ADJ
Entscheidende,Entscheidende.N
entscheidendem,entscheidend.ADJ
Entscheidendem,Entscheidende.N
entscheidendes,entscheidend.ADJ
Entscheidendes,Entscheidende.N
Entscheiden,Entscheid.N:3pm
entscheiden,entscheiden.V
entscheidet,entscheiden.V
Entscheidungen,Entscheidung.N:4pf:3pf:2pf:1pf
Entscheidung,Entscheidung.N:4sf:3sf:2sf:1sf
entschiedene,entschieden.ADJ
Entschiedene,Entschiedene.N
entschieden,entscheiden.V
entschlafene,entschlafen.ADJ
Entschlafene,Entschlafene.N
Entschließen,Entschließen.N:4sn:3sn:1sn
entschließen,entschließen.V
entschließ,entschließen.V
Entschließung,Entschließung.N:4sf:3sf:2sf:1sf
entschlossen,entschließen.V
Entschlusse,Entschluß.N:3sm
Entschlüsse,Entschluß.N:m
Entschluss,Entschluss.N:m
Entschluß,Entschluß.N:m
Entschlusses,Entschluß.N:2sm
Entschuldigen,Entschuldigen.N:4sn:3sn:1sn
entschuldigen,entschuldigen.V
Entschuldigung,Entschuldigung.N:4sf:3sf:2sf:1sf
entsetzlichen,entsetzlich.ADJ
Entsetzlichen,Entsetzliche.N
entsetzlich,entsetzlich.ADJ
entsetzlicher,entsetzlich.ADJ
Entsetzlicher,Entsetzliche.N
entsetzt,entsetzen.V
entsinnst,entsinnen.V
entsprach,entsprechen.V
entsprechende,entsprechend.ADJ
Entsprechende,Entsprechende.N
entsprechenden,entsprechend.ADJ
Entsprechenden,Entsprechende.N
entsprechend,entsprechen.V
entspricht,entsprechen.V
Entspringen,Entspringen.N:n
entspringen,entspringen.V
entstände,entstehen.V
entstandenen,entstanden.ADJ
Entstandenen,Entstandene.N
entstanden,entstehen.V
Entstanden,Entstanden.N:m
Entstehen,Entstehen.N:4sn:3sn:1sn
entstehen,entstehen.V
entsteht,entstehen.V
entstellt,entstellen.V
Enttäuschen,Enttäuschen.N:4sn:3sn:1sn
enttäuschen,enttäuschen.V
enttäuscht,enttäuschen.V
Enttäuschung,Enttäuschung.N:4sf:3sf:2sf:1sf
entwickelte,entwickeln.V
Entwickelte,Entwickelte.N
entwickelten,entwickeln.V
Entwickelten,Entwickelte.N
entwickelt,entwickeln.V
entzogen,entziehen.V
entzückende,entzückend.ADJ
Entzückende,Entzückende.N
entzückend,entzücken.V
entzückt,entzücken.V
Eo,Eo.N
Epidemie,Epidemie.N:f
Epigramme,Epigramm.N:4pn:2pn:1pn
Epilog,Epilog.N:m
epischen,episch.ADJ
Epischen,Epische.N
Episoden,Episode.N
Epistel,Epistel.N:f
Episteln,Epistel.N:4pf:3pf:2pf:1pf
Epoche,Epoche.N:4sf:3sf:2sf:1sf
Erbe,Erbe.N:n
erbe,erben.V
erbitte,erbitten.V
erbittert,erbittern.V
Erbitterung,Erbitterung.N:4sf:3sf:2sf:1sf
erbot,erbieten.V
erbricht,erbrechen.V
erbte,erben.V
Erde,Erde.N:4sf:3sf:2sf:1sf
erde,erden.V
erdenkliche,erdenklich.ADJ
Erdenkliche,Erdenkliche.N
Erdrücken,Erdrücken.N:4sn:3sn:1sn
erdrücken,erdrücken.V
ereignete,ereignen.V
Ereignete,Ereignete.N
ereignet,ereignen.V
Ereignis,Ereignis.N:n
Ereignisse,Ereignis.N:4pn:3sn:2pn:1pn
er,er.PRO
erfahre,erfahren.V
erfahrenen,erfahren.ADJ
Erfahrenen,Erfahrene.N
erfahren,erfahren.V
Erfahren,Erfahren.N:4sn:3sn:1sn
erfährst,erfahren.V
Erfahrungen,Erfahrung.N:4pf:3pf:2pf:1pf
Erfahrung,Erfahrung.N:4sf:3sf:2sf:1sf
erfasst,erfassen.V
Erfassung,Erfassung.N:4sf:3sf:2sf:1sf
Erfinden,Erfinden.N:4sn:3sn:1sn
erfinden,erfinden.V
Erfindungen,Erfindung.N:4pf:3pf:2pf:1pf
erfochten,erfechten.V
erfolge,erfolgen.V
Erfolge,Erfolg.N:4pm:3sm:2pm:1pm
Erfolgen,Erfolg.N:3pm
erfolgen,erfolgen.V
erfolg,erfolgen.V
Erfolg,Erfolg.N:4sm:3sm:1sm
erfordert,erfordern.V
Erfragen,Erfragen.N:4sn:3sn:1sn
erfragen,erfragen.V
erfragt,erfragen.V
erfreue,erfreuen.V
Erfreuen,Erfreuen.N:4sn:3sn:1sn
erfreuen,erfreuen.V
erfreulicher,erfreulich.ADJ
Erfreulicher,Erfreuliche.N
erfreulich,erfreulich.ADJ
erfreute,erfreuen.V
Erfreute,Erfreute.N
erfreut,erfreuen.V
erfrischt,erfrischen.V
erführe,erfahren.V
erfuhr,erfahren.V
Erfüllen,Erfüllen.N:4sn:3sn:1sn
erfüllen,erfüllen.V
erfüllt,erfüllen.V
Erfüllung,Erfüllung.N:4sf:3sf:2sf:1sf
erfunden,erfinden.V
ergab,ergeben.V
ergangen,ergehen.V
Ergänzen,Ergänzen.N:4sn:3sn:1sn
ergänzen,ergänzen.V
Ergänzungen,Ergänzung.N:4pf:3pf:2pf:1pf
ergebe,ergeben.V
ergebene,ergeben.ADJ
Ergebene,Ergebene.N
ergebenen,ergeben.ADJ
Ergebenen,Ergebene.N
ergebener,ergeben.ADJ
Ergebener,Ergebene.N
ergeben,ergeben.V
Ergeben,Ergeben.N:4sn:3sn:1sn
Ergebenheit,Ergebenheit.N:4sf:3sf:2sf:1sf
ergebenster,ergeben.ADJ
Ergebenster,Ergebene.N
Ergebnis,Ergebnis.N:n
Ergebnisse,Ergebnis.N:4pn:3sn:2pn:1pn
Ergebnissen,Ergebnis.N:3pn
Ergebung,Ergebung.N:4sf:3sf:2sf:1sf
ergehe,ergehen.V
Ergehen,Ergehen.N:4sn:3sn:1sn
ergehen,ergehen.V
ergibt,ergeben.V
ergötzt,ergötzen.V
ergreife,ergreifen.V
ergreifend,ergreifen.V
Ergreifen,Ergreifen.N:4sn:3sn:1sn
ergreifen,ergreifen.V
ergriffenen,ergriffen.ADJ
Ergriffenen,Ergriffene.N
ergriffen,ergreifen.V
ergriff,ergreifen.V
Erguß,Erguß.N:m
erhalte,erhalten.V
Erhalte,Erhalt.N:4pm:2pm:1pm
erhalten,erhalten.V
Erhalten,Erhalt.N:3pm
erhalt,erhalten.V
erhält,erhalten.V
Erhalt,Erhalt.N:m
erhältlichen,erhältlich.ADJ
Erhältlichen,Erhältliche.N
erhältst,erhalten.V
Erhaltung,Erhaltung.N:4sf:3sf:2sf:1sf
erhebendes,erhebend.ADJ
Erhebendes,Erhebende.N
Erheben,Erheben.N:4sn:3sn:1sn
erheben,erheben.V
erheblichen,erheblich.ADJ
Erheblichen,Erhebliche.N
Erheitern,Erheitern.N:4sn:3sn:1sn
erheitern,erheitern.V
erhielte,erhalten.V
erhielten,erhalten.V
erhielt,erhalten.V
erhoben,erheben.V
erhoffe,erhoffen.V
erhöhten,erhöhen.V
Erhöhten,Erhöhte.N
erhole,erholen.V
Erholen,Erholen.N:4sn:3sn:1sn
erholen,erholen.V
erholst,erholen.V
Erholung,Erholung.N:4sf:3sf:2sf:1sf
erhört,erhören.V
erinnere,erinnern.V
Erinnern,Erinnern.N:4sn:3sn:1sn
erinnern,erinnern.V
erinnerst,erinnern.V
erinnerte,erinnern.V
Erinnerte,Erinnerte.N
erinnert,erinnern.V
Erinnerungen,Erinnerung.N:4pf:3pf:2pf:1pf
Erinnerung,Erinnerung.N:4sf:3sf:2sf:1sf
erkältet,erkälten.V
erkannte,erkennen.V
Erkannte,Erkannte.N
erkannt,erkennen.V
erkenne,erkennen.V
Erkennen,Erkennen.N:4sn:3sn:1sn
erkennen,erkennen.V
erkennt,erkennen.V
Erkenntlichkeit,Erkenntlichkeit.N:4sf:3sf:2sf:1sf
Erkenntnis,Erkenntnis.N:f
erklangen,erklingen.V
erkläre,erklären.V
erklärende,erklärend.ADJ
Erklärende,Erklärende.N
Erklären,Erklären.N:4sn:3sn:1sn
erklären,erklären.V
erklärte,erklären.V
Erklärte,Erklärte.N
erklärt,erklären.V
Erklärungen,Erklärung.N:4pf:3pf:2pf:1pf
Erklärung,Erklärung.N:4sf:3sf:2sf:1sf
Erkrankung,Erkrankung.N:4sf:3sf:2sf:1sf
erkundige,erkundigen.V
Erkundigen,Erkundigen.N:4sn:3sn:1sn
erkundigen,erkundigen.V
erkundigte,erkundigen.V
Erkundigte,Erkundigte.N
erkundigt,erkundigen.V
Erkundigungen,Erkundigung.N:4pf:3pf:2pf:1pf
erlangbar,erlangbar.ADJ
erlangte,erlangen.V
Erlangte,Erlangte.N
erlassen,erlassen.V
Erlassen,Erlaß.N:3pm
erlaube,erlauben.V
Erlauben,Erlauben.N:4sn:3sn:1sn
erlauben,erlauben.V
Erlaubnis,Erlaubnis.N:f
erlaubte,erlauben.V
Erlaubte,Erlaubte.N
Erläutern,Erläutern.N:4sn:3sn:1sn
erläutern,erläutern.V
Erläuterungen,Erläuterung.N:4pf:3pf:2pf:1pf
Erläuterung,Erläuterung.N:4sf:3sf:2sf:1sf
erlebe,erleben.V
Erleben,Erleben.N:4sn:3sn:1sn
erleben,erleben.V
Erlebnis,Erlebnis.N:n
Erlebnisse,Erlebnis.N:4pn:3sn:2pn:1pn
erlebt,erleben.V
Erledigen,Erledigen.N:4sn:3sn:1sn
erledigen,erledigen.V
erledigt,erledigen.V
Erledigung,Erledigung.N:4sf:3sf:2sf:1sf
Erleichtern,Erleichtern.N:4sn:3sn:1sn
erleichtern,erleichtern.V
erleichtert,erleichtern.V
Erleichterung,Erleichterung.N:4sf:3sf:2sf:1sf
erließ,erlassen.V
erlitt,erleiden.V
erlösende,erlösend.ADJ
Erlösende,Erlösende.N
erlös,erlösen.V
Erlös,Erlös.N:m
ermäßigten,ermäßigen.V
Ermäßigten,Ermäßigte.N
Ermessen,Ermessen.N:4sn:4pn:3sn:3pn:2pn:1sn:1pn
Ermessens,Ermessen.N
Ermitteln,Ermitteln.N:4sn:3sn:1sn
ermitteln,ermitteln.V
ermittelt,ermitteln.V
Ermöglichen,Ermöglichen.N:4sn:3sn:1sn
ermöglichen,ermöglichen.V
Ermüdung,Ermüdung.N:4sf:3sf:2sf:1sf
ermuntert,ermuntern.V
ermutigte,ermutigen.V
Ermutigte,Ermutigte.N
erneute,erneuen.V
Erneute,Erneute.N
ernste,ernst.ADJ
Ernste,Ernste.N
ernsten,ernst.ADJ
Ernsten,Ernste.N
ernster,ernst.ADJ
Ernster,Ernste.N
ernst,ernst.ADJ
Ernst,Ernst.N:m
ernstes,ernst.ADJ
Ernstes,Ernste.N
ernstlich,ernstlich.ADJ
Eroberung,Eroberung.N:4sf:3sf:2sf:1sf
Eroica,Eroica.N:f
Eroika,Eroika.N:f
Erörterungen,Erörterung.N:4pf:3pf:2pf:1pf
Eros,Eros.N:m
erpicht,erpicht.ADJ
erquickliches,erquicklich.ADJ
Erquickliches,Erquickliche.N
erratische,erratisch.ADJ
Erratische,Erratische.N
errätst,erraten.V
erregende,erregend.ADJ
Erregende,Erregende.N
Erregen,Erregen.N:4sn:3sn:1sn
erregen,erregen.V
erregten,erregen.V
Erregten,Erregte.N
erregt,erregen.V
erreichbar,erreichbar.ADJ
Erreichen,Erreichen.N:4sn:3sn:1sn
erreichen,erreichen.V
erreichte,erreichen.V
Erreichte,Erreichte.N
erreicht,erreichen.V
errungene,errungen.ADJ
Errungene,Errungene.N
Ersatz,Ersatz.N:m
erscheinende,erscheinend.ADJ
Erscheinende,Erscheinende.N
Erscheinen,Erscheinen.N:4sn:3sn:1sn
erscheinen,erscheinen.V
erscheint,erscheinen.V
Erscheinung,Erscheinung.N:4sf:3sf:2sf:1sf
erschiene,erscheinen.V
erschienene,erschienen.ADJ
Erschienene,Erschienene.N
erschienen,erscheinen.V
Erschienen,Erschienen.N:4sn:3sn:1sn
erschienenes,erschienen.ADJ
Erschienenes,Erschienene.N
erschien,erscheinen.V
erschlaffend,erschlaffen.V
erschöpft,erschöpfen.V
erschossen,erschießen.V
erschreckenden,erschreckend.ADJ
Erschreckenden,Erschreckende.N
erschütternd,erschüttern.V
erschütterndes,erschütternd.ADJ
Erschütterndes,Erschütternde.N
erschüttert,erschüttern.V
Erschütterungen,Erschütterung.N:4pf:3pf:2pf:1pf
erschwert,erschweren.V
ersehe,ersehen.V
ersehen,ersehen.V
Ersehen,Ersehen.N:4sn:3sn:1sn
ersehnte,ersehnen.V
Ersehnte,Ersehnte.N
Ersinnen,Ersinnen.N:4sn:3sn:1sn
ersinnen,ersinnen.V
Ersparen,Ersparen.N:4sn:3sn:1sn
ersparen,ersparen.V
ersprießlichsten,ersprießlich.ADJ
Ersprießlichsten,Ersprießliche.N
erstarrten,erstarren.V
Erstarrten,Erstarrte.N
Erstaunen,Erstaunen.N:4sn:3sn:1sn
erstaunen,erstaunen.V
erstaunlich,erstaunlich.ADJ
erstaunliches,erstaunlich.ADJ
Erstaunliches,Erstaunliche.N
erstaunt,erstaunen.V
erste,erst.ADJ
Erste,Erste.N
ersten,erst.ADJ
Ersten,Erste.N
erstere,erst.ADJ
Erstere,Erste.N
ersteren,erst.ADJ
Ersteren,Erste.N
ersterer,erst.ADJ
Ersterer,Erste.N
erster,erst.ADJ
Erster,Erste.N
erst,erst.ADJ
Ersticken,Ersticken.N:4sn:3sn:1sn
ersticken,ersticken.V
ersuchte,ersuchen.V
Ersuchte,Ersuchte.N
ersuchten,ersuchen.V
Ersuchten,Ersuchte.N
ersucht,ersuchen.V
ertrage,ertragen.V
Ertrage,Ertrag.N:3sm
ertragen,ertragen.V
Ertragen,Ertragen.N:4sn:3sn:1sn
erträglichem,erträglich.ADJ
Erträglichem,Erträgliche.N
erträglich,erträglich.ADJ
erträglichste,erträglich.ADJ
Erträglichste,Erträgliche.N
ertrug,ertragen.V
Erübrigen,Erübrigen.N:4sn:3sn:1sn
erübrigen,erübrigen.V
Erwachen,Erwachen.N:4sn:3sn:1sn
erwachen,erwachen.V
erwachte,erwachen.V
Erwachte,Erwachte.N
Erwägen,Erwägen.N:4sn:3sn:1sn
erwägen,erwägen.V
Erwägung,Erwägung.N:4sf:3sf:2sf:1sf
Erwähnen,Erwähnen.N:4sn:3sn:1sn
erwähnen,erwähnen.V
erwähnte,erwähnen.V
Erwähnte,Erwähnte.N
erwähnten,erwähnen.V
Erwähnten,Erwähnte.N
erwähnt,erwähnen.V
Erwähnung,Erwähnung.N:4sf:3sf:2sf:1sf
erwarte,erwarten.V
Erwarten,Erwarten.N:4sn:3sn:1sn
erwarten,erwarten.V
erwartest,erwarten.V
erwartete,erwarten.V
Erwartete,Erwartete.N
erwartet,erwarten.V
Erwartung,Erwartung.N:4sf:3sf:2sf:1sf
erweckt,erwecken.V
Erweckung,Erweckung.N:4sf:3sf:2sf:1sf
Erweisen,Erweis.N:3pm
erweisen,erweisen.V
erweist,erweisen.V
erweitert,erweitern.V
Erwerben,Erwerb.N:3pm
erwerben,erwerben.V
erwerb,erwerben.V
Erwerb,Erwerb.N:4sm:3sm:1sm
Erwidern,Erwidern.N:4sn:3sn:1sn
erwidern,erwidern.V
Erwiderung,Erwiderung.N:4sf:3sf:2sf:1sf
erwiesene,erwiesen.ADJ
Erwiesene,Erwiesene.N
erwiesen,erweisen.V
erwuchs,erwachsen.V
Erwünschen,Erwünschen.N:4sn:3sn:1sn
erwünschen,erwünschen.V
erwünscht,erwünschen.V
erzähle,erzählen.V
Erzählen,Erzählen.N:4sn:3sn:1sn
erzählen,erzählen.V
erzählte,erzählen.V
Erzählte,Erzählte.N
erzählten,erzählen.V
Erzählten,Erzählte.N
erzählt,erzählen.V
Erzählungen,Erzählung.N:4pf:3pf:2pf:1pf
Erzählung,Erzählung.N:4sf:3sf:2sf:1sf
Erzeugnisse,Erzeugnis.N:4pn:3sn:2pn:1pn
Erziehen,Erziehen.N:4sn:3sn:1sn
erziehen,erziehen.V
Erziehung,Erziehung.N:4sf:3sf:2sf:1sf
Eselei,Eselei.N:f
Esel,Esel.N:m
esel,eseln.V
es,e.N
Essai,Essai.N:m
Essays,Essay.N:4pm:3pm:2sm:2pm:1pm
Esse,Esse.N:f
esse,essen.V
Essen,Esse.N
essen,essen.V
essential,essential.N
Esser,Esser.N:m
Ess,Essen.N
ess,ess.N
esset,essen.V
Ethik,Ethik.N:f
ethische,ethisch.ADJ
Ethische,Ethische.N
ethischer,ethisch.ADJ
Ethischer,Ethische.N
Etter,Etter.N:m
etwa,etwa.CONJS
etwas,etwas.DET
Etwas,Etwas.N:n
euch,euch.PRO
euere,euere.DET
euer,euer.DET
eure,eure.DET
eurem,eurem.DET
eurer,eurer.DET
Europa,Europa.N:n
Evangelium,Evangelium.N:n
Evangeliums,Evangelium.N
eventuelle,eventuell.ADJ
Eventuelle,Eventuelle.N
eventuellen,eventuell.ADJ
Eventuellen,Eventuelle.N
eventuell,eventuell.ADJ
ewige,ewig.ADJ
Ewige,Ewige.N
ewigen,ewig.ADJ
Ewigen,Ewige.N
ewig,ewig.ADJ
Ewigkeit,Ewigkeit.N:4sf:3sf:2sf:1sf
excellent,excellent.ADJ
Exchange,Exchange.N:f
