Aar,Aar.N:m
Abwarten,Abwart.N:3pm
abwarten,abwarten.V#2
abwechselnd,abwechseln.V#2
Abwechslung,Abwechslung.N:4sf:3sf:2sf:1sf
Abweichen,Abweichen.N:4sn:3sn:1sn
abweichen,abweichen.V#2
Abweichung,Abweichung.N:4sf:3sf:2sf:1sf
Abwenden,Abwenden.N:4sn:3sn:1sn
abwenden,abwenden.V#2
Abwesenheit,Abwesenheit.N:4sf:3sf:2sf:1sf
Abzeichnen,Abzeichnen.N:4sn:3sn:1sn
abzeichnen,abzeichnen.V#2
abzubitten,abbitten.V#2
Abzug,Abzug.N:m
abzuleiten,ableiten.V#2
abzuschaffen,abzuschaffenschaffen.V#2
abzuschreiben,abzuschreiben.V#2
Ach,Ach.N:n
acht,acht.ADJ
Acht,Acht.N:f
achtgibst,achtgeben.V#4
Achtung,Achtung.N:4sf:3sf:2sf:1sf
Action,Action.N:f
Adagio,Adagio.N:n
additional,additional.ADJ
Additions,Addition.N
adele,adeln.V
Adieu,Adieu.N:n
Adress,Adresse.N
Adressat,Adressat.N:1sm
Adresse,Adresse.N:4sf:3sf:2sf:1sf
Adressen,Adresse.N
adressiert,adressieren.V
adult,adult.N
Advantage,Advantage.N:m
Advantages,Advantage.N:4pm:3pm:2sm:2pm:1pm
affektiert,affektieren.V
After,After.N:m
Agenden,Agende.N
Agent,Agent.N:1sm
Aggregate,Aggregat.N:4pn:3sn:2pn:1pn
aggressive,aggressiv.ADJ
Aggressive,Aggressive.N
Aggressors,Aggressor.N:2sm
ägyptischen,ägyptisch.ADJ
Ägyptischen,Ägyptische.N
Ahne,Ahn.N:3sm
ahne,ahnen.V
Ahnen,Ahne.N
ahnen,ahnen.V
ähnlich,ähnlich.ADJ
ähnliche,ähnlich.ADJ
Ähnliche,Ähnliche.N
ähnlichen,ähnlich.ADJ
Ähnlichen,Ähnliche.N
ähnlicher,ähnlich.ADJ
Ähnlicher,Ähnliche.N
ähnliches,ähnlich.ADJ
Ähnliches,Ähnliche.N
Ähnlichkeit,Ähnlichkeit.N:4sf:3sf:2sf:1sf
ahnst,ahnen.V
Ahnung,Ahnung.N:4sf:3sf:2sf:1sf
Air,Air.N:n
akademische,akademisch.ADJ
Akademische,Akademische.N
akademischen,akademisch.ADJ
Akademischen,Akademische.N
akademisches,akademisch.ADJ
Akademisches,Akademische.N
Akkreditierung,Akkreditierung.N:4sf:3sf:2sf:1sf
Aktion,Aktion.N:4sf:3sf:2sf:1sf
aktuelle,aktuell.ADJ
Aktuelle,Aktuelle.N
akut,akut.ADJ
Akut,Akut.N:m
akuter,akut.ADJ
Akuter,Akute.N
Akzessist,Akzessist.N:1sm
Alarm,Alarm.N:m
albernes,albern.ADJ
Albernes,Alberne.N
albert,albern.V
Aliud,Aliud.N:4sn:3sn:2sn:1sn
all,all.DET
All,All.N:n
alle,alle.DET
alledem,alledem.PRO
Allegorie,Allegorie.N:f
allein,allein.ADJ
allem,allem.DET
allen,allen.DET
aller,aller.DET
allerdings,allerdings.CONJS
allergrößten,allergrößt.ADJ
Allergrößten,Allergrößte.N
allerhand,allerhand.DET
Allerheiligen,Allerheiligen.N:n
allerlei,allerlei.DET
Allerlei,Allerlei.N:n
allernächster,allernächst.ADJ
alles,alles.DET
allgemein,allgemein.ADJ
allgemeine,allgemein.ADJ
Allgemeine,Allgemeine.N
allgemeinen,allgemein.ADJ
