Aar,Aar.N:m
Menschliche,Menschliche.N
Menschlichen,Menschliche.N
Menschlicher,Menschliche.N
Meritorischen,Meritorische.N
Merk,Merk.N:m
Merke,Merk.N:m
Merken,Merk.N:m
Merkmal,Merkmal.N:n
Merkmale,Merkmal.N:n
Message,Message.N:f
Messages,Message.N:f
Messe,Messe.N:f
Meste,Meste.N:f
Met,Met.N:m
Meteorologe,Meteorologe.N:m
Methode,Methode.N:f
Michel,Michel.N:m
Mies,Mies.N:f
Miete,Miete.N:f
Milch,Milch.N:f
Milde,Milde.N
Milder,Milde.N
Mildere,Milde.N
Mildern,Mildern.N:n
Mildeste,Milde.N
Milieu,Milieu.N:n
Military,Military.N:f
Militär,Militär.N:m
Militärische,Militärische.N
Militärischen,Militärische.N
Millionen,Million.N:f
Millionärin,Millionärin.N:f
Mindern,Mindern.N:n
Minderwertiger,Minderwertige.N
Mindesten,Mindeste.N
Mine,Mine.N:f
Minus,Minus.N:n
Minute,Minute.N:f
Minuten,Minute.N
Mir,Mir.N:m
Mira,Mira.N:f
Mirs,Mir.N:m
Mischen,Mischen.N:n
Miss,Miss.N:f
Mission,Mission.N:n
Misslungene,Misslungene.N
Mist,Mist.N:m
Mitbringen,Mitbringen.N:n
Mitgefangener,Mitgefangene.N
Mitgeteilte,Mitgeteilte.N
Mitgeteilten,Mitgeteilte.N
Mitnehmen,Mitnehmen.N:n
Mitreden,Mitreden.N:n
Mittag,Mittag.N:m
Mittags,Mittag.N
Mitte,Mitte.N:f
Mitteilen,Mitteilen.N:n
Mittel,Mittel.N:f
Mitteln,Mittel.N:n
Mitten,Mitte.N
Mitternacht,Mitternacht.N:f
Mittlere,Mittlere.N
Mittwoch,Mittwoch.N:m
Mißachtung,Mißachtung.N:f
Mißfallen,Mißfallen.N:n
Mißhandlung,Mißhandlung.N:f
Mißtrauen,Mißtrauen.N:n
Mißverständnis,Mißverständnis.N:n
Mißverständnisse,Mißverständnis.N:n
Mißverständnissen,Mißverständnis.N:n
Mode,Mode.N:f
Model,Model.N:m
Modellen,Modell.N:n
Modellieren,Modellieren.N:n
Moderate,Moderate.N
Modern,Modern.N:n
Modernen,Moderne.N
Modifikation,Modifikation.N:f
Mohr,Mohr.N:m
Moll,Moll.N:m
Moment,Moment.N:m
Moments,Moment.N
Monat,Monat.N:m
Monate,Monat.N:m
Monaten,Monat.N:m
Monats,Monat.N
Mond,Mond.N:m
Monde,Mond.N:m
Monstrum,Monstrum.N:n
Montag,Montag.N:m
Monument,Monument.N:n
Monumentales,Monumentale.N
Moore,Moor.N:n
Moores,Moor.N:n
Moos,Moos.N:n
Moral,Moral.N:f
Moralischen,Moralische.N
Moralischer,Moralische.N
More,More.N:f
Morgen,Morgen.N:m
Morgens,Morgen.N:m
Morgigen,Morgige.N
Most,Most.N:m
Motion,Motion.N:f
Motiv,Motiv.N:n
Motive,Motiv.N:n
Motiven,Motiv.N:n
Motor,Motor.N:m
Motto,Motto.N:n
Muck,Muck.N:m
Multis,Multi.N:m:1pm
Mumps,Mumps.N:m
Mund,Mund.N:f
Munde,Mund.N:m
Munden,Munden.N:n
Murren,Murren.N:n
Museen,Museum.N
Musen,Muse.Nen
Museum,Museum.N:n
Musical,Musical.N:n
Musik,Musik.N:f
Musikalische,Musikalische.N
Musikalischen,Musikalische.N
Musiker,Musiker.N:m
Musikern,Musiker.N:m
Musizieren,Musizieren.N:n
Muskeln,Muskel.N:m
Muss,Muss.N:n
Mut,Mut.N:m
Mute,Mut.N:m
Mutes,Mut.N:m
Mutter,Mutter.N:f
Muß,Muß.N:n
Muße,Muße.N:f
Mystische,Mystische.N
Mythos,Mythos.N:m
Mächten,Macht.N:f
Mächtige,Mächtige.N
Mädchen,Mädchen.N:n
Mädel,Mädel.N:n
Mähren,Mähre.N
Märchen,Märchen.N:n
März,März.N:m
Mäßigen,Mäßige.N
Möbel,Möbel.N:n
Möchten,Möchten.N:n
Mögen,Mögen.N:n
Mögliche,Mögliche.N
Möglichen,Mögliche.N
Möglichkeit,Möglichkeit.N:f
Möglichkeiten,Möglichkeit.N:f
Möglichstes,Mögliche.N
Müde,Müde.N
Müden,Müde.N
Müder,Müde.N
Müdigkeit,Müdigkeit.N:f
Mühe,Mühe.N:f
Mühen,Mühen.N:n
Mühle,Mühle.N:f
München,München.N:n
Mündliche,Mündliche.N
Mündlichen,Mündliche.N
Münze,Münze.N:f
Mürber,Mürbe.N
Müssen,Müssen.N:n
Müßige,Müßige.N
Nachbarschaft,Nachbarschaft.N:f
Nachdenken,Nachdenken.N:n
Nachdenkens,Nachdenken.N
Nachdrängen,Nachdrängen.N:n
Nachfolgers,Nachfolger.N:m
Nachfragen,Nachfragen.N:n
Nachgehen,Nachgehen.N:n
Nachgelassenes,Nachgelassene.N
Nachgeschickten,Nachgeschickte.N
Nachhelfen,Nachhelfen.N:n
Nachkommen,Nachkomme.N
Nachricht,Nachricht.N:f
Nachrichten,Nachricht.N:f
Nachschauen,Nachschauen.N:n
Nachschicken,Nachschicken.N:n
Nachsehen,Nachsehen.N:n
Nacht,Nacht.N:f
Nachteile,Nachteil.N:m
Nacken,Nacken.N:m
Nagen,Nagen.N:n
Nahrung,Nahrung.N:f
Naivität,Naivität.N:f
Name,Name.N:m
Namen,Name.N:m:1pm
Namens,Namen.N
Narren,Narr.N:m
Nations,Nation.N
Native,Native.N
Natur,Natur.N:f
Naturalisation,Naturalisation.N:f
Naturalisierten,Naturalisierte.N
Naturen,Natur.N:f
Natürliche,Natürliche.N
Natürlichen,Natürliche.N
Natürlicher,Natürliche.N
Natürliches,Natürliche.N
Nazi,Nazi.N:m
Nebeneinander,Nebeneinander.N:n
Need,Need.N:n
Needs,Need.N:n
Neffen,Neffe.N
Negation,Negation.N:f
Negative,Negative.N
Negatives,Negative.N
Nehmen,Nehmen.N:n
Nehmenden,Nehmende.N
Neid,Neid.N:m
Neigen,Neige.N
Neigung,Neigung.N:f
Nennen,Nennen.N:n
Nennung,Nennung.N:f
Nerven,Nerv.N:m
Nervosität,Nervosität.N:f
Nervöse,Nervöse.N
Nervösen,Nervöse.N
Nervöser,Nervöse.N
Nervöses,Nervöse.N
Nest,Nest.N:n
Nette,Nette.N
Netten,Nette.N
Netter,Nette.N
Nettesten,Nette.N
Nettigkeit,Nettigkeit.N:f
Network,Network.N:n
Neue,Neue.N
Neuem,Neue.N
Neuen,Neue.N
Neuer,Neue.N
Neuere,Neue.N
Neueren,Neue.N
Neuerliche,Neuerliche.N
Neues,Neue.N
Neueste,Neue.N
Neuigkeiten,Neuigkeit.N:f
Neun,Neun.N:f
Neunte,Neunte.N
Neuritis,Neuritis.N:f
Neusten,Neue.N
Newcomer,Newcomer.N:m
News,News.N
Newton,Newton.N:n
Nexus,Nexus.N:m
Nibelungen,Nibelunge.N
Nichte,Nichte.N:f
Nichten,Nichte.N
Nichts,Nichts.N:n
Niederlassen,Niederlassen.N:n
Niederlegen,Niederlegen.N:n
Niedrigen,Niedrige.N
Niedrigsten,Niedrige.N
Niemand,Niemand.N:m
Noblesse,Noblesse.N:f
Nochmaligem,Nochmalige.N
Nomen,Nomen.N:n
Nomina,Nomen.N:n
None,None.N:f
Nonne,Nonne.N:f
Nonsense,Nonsens.N:m
Noon,Noon.N
Norden,Norden.N:m
Normal,Normal.N:n
Normale,Normale.N
Normalen,Normale.N
Norwegen,Norwegen.N:n
Norwegische,Norwegische.N
Norwegischen,Norwegische.N
Norwegisches,Norwegische.N
Not,Not.N:f
Notabene,Notabene.N:n
Notation,Notation.N:f
Notations,Notation.N
Note,Note.N:f
Noten,Note.N
Novellen,Novelle.N
Novellistisches,Novellistische.N
November,November.N:m
Novum,Novum.N:nen
Null,Null.N:f
Numerierte,Numerierte.N
Numerierung,Numerierung.N:f
Numero,Numero.N:n
Nummer,Nummer.N:f
Nummern,Nummer.N
Nutzen,Nutzen.N:m
Nägel,Nagel.N:m
Nähe,Nähe.N:f
Näher,Näher.N:m
Nördlichem,Nördliche.N
Nöte,Not.N:f
Nötige,Nötige.N
Nötigen,Nötige.N
Nüchtern,Nüchtern.N:n
Nüchternen,Nüchterne.N
Nützen,Nützen.N:n
Obere,Obere.N
Oberflächlichkeit,Oberflächlichkeit.N:f
Oberflächlichsten,Oberflächliche.N
Obhut,Obhut.N:f
Obige,Obige.N
Obigen,Obige.N
Objekt,Objekt.N:n
Objekte,Objekt.N:n
Objekten,Objekt.N:n
Objektivität,Objektivität.N:f
Obligation,Obligation.N:f
Obszöner,Obszöne.N
Occasion,Occasion.N:f
Odds,Odds.N
Ofen,Ofen.N:m
Off,Off.N:n
Offenheit,Offenheit.N:f
Offensive,Offensive.N
Office,Office.N:n
Offizial,Offizial.N:m
Offizielles,Offizielle.N
Offizier,Offizier.N:m
Offiziers,Offizier.N
Ohr,Ohr.N:n
Ohren,Ohr.N:n
Oktett,Oktett.N:n
Oktober,Oktober.N:m
Oliver,Olive.Nen
Omission,Omission.N:f
Omnium,Omnium.N:n
On,On.N:n
Onkel,Onkel.N:m
Oper,Oper.N:f
Operation,Operation.N:f
Operationen,Operation.N:f
Operations,Operation.N
Opfer,Opfer.N:n
Opposition,Opposition.N:f
Oppression,Oppression.N:f
Opus,Opus.N:n
Orangen,Orange.N
Orchester,Orchester.N:n
Orden,Orden.N:m
Order,Order.N:f
Ordinal,Ordinale.N
Ordination,Ordination.N:f
Ordinations,Ordination.N
Ordnung,Ordnung.N:f
Ordre,Ordre.N:f
Organisation,Organisation.N:f
Organum,Organum.N:nen
Orientierung,Orientierung.N:f
Original,Original.N:n
Originals,Original.N:n
Ort,Ort.N
Orte,Ort.N:m
Orthographie,Orthographie.N:f
Orts,Ort.N
Os,Os.N:m
Ost,Osten.N
Ostende,Ostende.Nen
Ostern,Ostern.N:n:2sn:2pn:1sn:1pn
Otto,Otto.N:m
Out,Out.N:n
Outs,Out.N:n:1pn
Ouvertüre,Ouvertüre.N:f
Ozean,Ozean.N:m
Paar,Paar.N
Paaren,Paar.N:n
Pace,Pace.N:f
Pack,Pack.N:m
Packeln,Packeln.N:n
Packen,Packen.N:m
Pad,Pad.N:n
Page,Page.N:m
Pair,Pair.N:m
Paket,Paket.N:n
Pakete,Paket.N:n
Paketen,Paket.N:n
Paketes,Paket.N:n
Palais,Palais.N:n
Pale,Pale.N:f
Palästina,Palästina.N:n
Pamphlet,Pamphlet.N:n
Pan,Pan.N:m
Panels,Panel.N:n:1pn
Papa,Papa.N:m
Paper,Paper.N:n
Papers,Paper.N:n:1pn
Papier,Papier.N:n
Parade,Parade.N:f
Paradox,Paradox.N:n
Pardon,Pardon.N:m
Park,Park.N:m
Part,Part.N:m
Partei,Partei.N:f
Parteien,Partei.N:f
Parterre,Parterre.N:n
Partitur,Partitur.N:f
Parts,Part.N:m
Party,Party.N:f
Pascal,Pascal.N:n
Pass,Pass.N:m
Passage,Passage.N
Passen,Passe.N
Passende,Passende.N
Passendem,Passende.N
Passenden,Passende.N
Passender,Passende.N
Passiver,Passive.N
Pastillen,Pastille.N
Pate,Pate.N:men
Pater,Pater.N:m
Paters,Pater.N:m
Patience,Patience.N:f
Patient,Patient.N:m
Patronen,Patrone.N
Patzer,Patzer.N:m
Paukist,Paukist.N:m
Pauschalierung,Pauschalierung.N:f
Pause,Pause.N:f
Pausen,Pause.N
Paß,Paß.N:m
Pech,Pech.N:n
Pedantischen,Pedantische.N
Peinlicher,Peinliche.N
Pekuniäre,Pekuniäre.N
Pennies,Penny.N:m
Penny,Penny.N:m
Per,Per.N:n
Perception,Perception.N:f
Perfekt,Perfekt.N:n
Performance,Performance.N:f
Performances,Performance.N
Periode,Periode.N:f
Perlen,Perle.N
Permission,Permission.N:f
Permit,Permit.N:n
Permits,Permit.N:n:1pn
Person,Person.N:f
Personal,Personal.N:n
Personen,Person.N:f
Personifiziertes,Personifizierte.N
Persönliche,Persönliche.N
Persönlichen,Persönliche.N
Persönlichkeit,Persönlichkeit.N:f
Pessimistischere,Pessimistische.N
Petrefakten,Petrefakt.N:n
Pfannen,Pfanne.N
Pfarrer,Pfarrer.N:m
Pfarrers,Pfarrer.N
Pfeifen,Pfeife.N
Pferd,Pferd.N:n
Pfingsten,Pfingsten.N:n:2sn:2pn:1sn:1pn
Pflanze,Pflanze.N:f
Pflanzen,Pflanze.N
Pflaster,Pflaster.N:n
Pflege,Pflege.N:f
Pflegen,Pflegen.N:n
Pflegerin,Pflegerin.N:f
Pflegerinnen,Pflegerin.N
Pflegte,Pflegte.N
Pflicht,Pflicht.N:f
Pfund,Pfund.N:n
Phantasie,Phantasie.N:f
Phantastischen,Phantastische.N
Phantom,Phantom.N:n
Philologe,Philologe.N:m
Philologie,Philologie.N:f
Philologischen,Philologische.N
Philosoph,Philosoph.N:m
Philosophen,Philosoph.N:m
Philosophie,Philosophie.N:f
Philosophieren,Philosophieren.N:n
Philosophierender,Philosophierende.N
Philosophierten,Philosophierte.N
Philosophische,Philosophische.N
Philosophischem,Philosophische.N
Philosophischen,Philosophische.N
Philosophischer,Philosophische.N
Philosophisches,Philosophische.N
Phone,Phon.N:n
Phonetische,Phonetische.N
Photo,Photo.N:m
Photographieren,Photographieren.N:n
Photos,Photo.N:m:1pm
Phrase,Phrase.N:f
Physik,Physik.N:f
Physiker,Physiker.N:m
Physiologie,Physiologie.N
Physische,Physische.N
Phänomenalem,Phänomenale.N
Phänomenologie,Phänomenologie.N:f
Pianino,Pianino.N:n
Pianist,Pianist.N:m
Pianisten,Pianist.N:m
Piano,Piano.N:n
Pichler,Pichler.N:m
Pick,Pick.N:m
Piece,Piece.N:f
Pilgrim,Pilgrim.N:m
Pilgrims,Pilgrim.N:men
Pink,Pink.N:f
Pints,Pint.N:n:1pn
Pionier,Pionier.N:m
Placet,Placet.N:n
Plagiat,Plagiat.N:n
Plagiator,Plagiator.N:m
Plan,Plan.N:m
Plane,Plane.N
Planes,Plane.N
Planet,Planet.N:m
Planeten,Planet.N:m
Planets,Planet.N:m
Plans,Plan.N:m
Plastiken,Plastik.N:f
Platten,Platte.N
Platz,Platz.N:m
Plaudern,Plaudern.N:n
Plural,Plural.N:m
Plus,Plus.N:n
Pläne,Plan.N:m
Plänen,Pläne.N
Po,Po.N:m
Poem,Poem.N:n
Poems,Poem.N:n
Poet,Poet.N:m
Point,Point.N:m
Points,Point.N:m:1pm
Pol,Pol.N:m
Pole,Pole.N:m
Polemischen,Polemische.N
Polen,Pole.N
Polier,Polier.N:m
Polierten,Polierte.N
Poliomyelitis,Poliomyelitis.N:f
Politik,Politik.N:f
Politur,Politur.N:f
Polnischen,Polnische.N
Pommern,Pommer.Nen
Pope,Pope.N:men
Popper,Popper.N:m
Populärer,Populäre.N
Porter,Porter.N:m
Porters,Porter.N:m
Portrait,Portrait.N:n
Position,Position.N:f
Positive,Positive.N
Posse,Posse.N:f
Possession,Possession.N:f
Post,Post.N:f
Posten,Posten.N:m
Pot,Pot.N:n
Power,Power.N:f
Pracht,Pracht.N:f
Praktischen,Praktische.N
Praktischer,Praktische.N
Predigen,Predigen.N:n
Predigt,Predigt.N:f
Preference,Preference.N:f
Preis,Preis.N:m
Preise,Preis.N:m
Prekären,Prekäre.N
Presse,Presse.N:f
Preußischen,Preußische.N
Priester,Priester.N:m
Primitive,Primitive.N
Primitivität,Primitivität.N:f
Printers,Printer.N:m
Printing,Printing.N
Prinz,Prinz.N:m
Prinzip,Prinzip.N:n
Priorität,Priorität.N:f
Prisma,Prisma.N:n
Private,Private.N
Probable,Probable.N
Probe,Probe.N:f
Problem,Problem.N:n
Probleme,Problem.N:n
Problemen,Problem.N:n
Problems,Problem.N:n
Produkte,Produkt.N:n
Produktivität,Produktivität.N:f
Profane,Profane.N
Profess,Profess.N:f
Profession,Profession.N:f
Professional,Professional.N:m
Professor,Professor.N:m
Professoren,Professor.N:m
Professors,Professor.N:m
Professur,Professur.N:f
Profit,Profit.N:m
Profitable,Profitable.N
Prognose,Prognose.N:f
Programm,Programm.N:n
Progress,Progress.N:m
Progresses,Progreß.N:m
Projekte,Projekt.N:n
Projektion,Projektion.N:f
Prophet,Prophet.N:m
Prophezeien,Prophezeien.N:n
Proposition,Proposition.N:f
Propositions,Proposition.N
Prospekt,Prospekt.N:m
Prostate,Prostat.N:f
Prostituieren,Prostituieren.N:n
Protamine,Protamin.N:n
Protektion,Protektion.N:f
Protestant,Protestant.N:m
Provenienz,Provenienz.N:f
Provision,Provision.N:f
Provisions,Provision.N
Präludium,Präludium.N:n
Präparat,Präparat.N:n
Präzision,Präzision.N:f
Prüfung,Prüfung.N:f
Prüfungen,Prüfung.N:f
Prügel,Prügel.N
Psychiater,Psychiater.N:m
Psychischen,Psychische.N
Psychologie,Psychologie.N:f
Psychologisches,Psychologische.N
Publikation,Publikation.N:f
Publizieren,Publizieren.N:n
Publizierung,Publizierung.N:f
Pudding,Pudding.N:m
Puls,Puls.N:m
Punkt,Punkt.N:m
Punkte,Punkt.N:m
Punkten,Punkt.N:m
Pure,Pure.N
Putziger,Putzige.N
Puzzle,Puzzle.N:n
Puzzles,Puzzle.N:n:1pn
Pyramide,Pyramide.N:f
Pythia,Pythia.N:f
Päckchen,Päckchen.N:n
Pädagogik,Pädagogik.N:f
Pädagogische,Pädagogische.N
Pädagogischen,Pädagogische.N
Qual,Qual.N:f
Qualen,Qual.N:f
Qualität,Qualität.N:f
Qualitäten,Qualität.N:f
Quart,Quarte.N
Quarters,Quarter.N:m
Quartett,Quartett.N:n
Quartette,Quartett.N:n
Quartetten,Quartett.N:n
Quarto,Quarto.N:n
Quarzes,Quarz.N:m
Queen,Queen.N:f
Quelle,Quell.N:m
Quellen,Quelle.N
Quere,Quere.N:f
Quicker,Quicke.N
Quintette,Quintett.N:n
Quorum,Quorum.N:n
Quotation,Quotation.N:f
Quotations,Quotation.N
Quote,Quote.N:f
Rabe,Rabe.N:m
Rad,Rad.N:n
Radiators,Radiator.N:m
Radikal,Radikal.N:n
Radio,Radio.N:n
Radix,Radix.N:f
Rage,Rage.N:f
Ragen,Rage.N
Rahmen,Rahmen.N:m
Rain,Rain.N:m
Rains,Rain.N:m
Rand,Rand.N:m
Rande,Rand.N:m
Ranges,Rang.N:m
Rank,Rank.N:m
Ranks,Rank.N:m
Rare,Rare.N
Rasch,Rasch.N:m
Rasche,Rasche.N
Rascher,Rasche.N
Rasches,Rasche.N
Rasen,Rasen.N:m
Rassen,Rasse.N
Rat,Rat.N:m
Rate,Rat.N:m
Raten,Rate.N
Ratio,Ratio.N:f
Ration,Ration.N:f
Rations,Ration.N
Ratte,Ratte.N:f
Rauben,Raub.N:m
Rauchigen,Rauchige.N
Raufen,Raufe.N
Raum,Raum.N:m
Raume,Raum.N:m
Raumes,Raum.N:m
Rauschen,Rauschen.N:n
Rayon,Rayon.N:m
Re,Re.N:n
Reader,Reader.N:m
Readers,Reader.N:m
Reaktion,Reaktion.N:f
Real,Real.N:m
Realem,Reale.N
Realen,Reale.N
Reales,Reale.N
Realisierung,Realisierung.N:f
Rechenschaft,Rechenschaft.N:f
Recherchieren,Recherchieren.N:n
Rechnen,Rechnen.N:n
Rechnung,Rechnung.N:f
Recht,Recht.N:n
Rechte,Rechte.N
Rechten,Rechte.N
Rechter,Rechte.N
Rechtes,Rechte.N
Rede,Rede.N:f
Reden,Rede.N
Referent,Referent.N:m
Refrain,Refrain.N:m
Reg,Reg.N:f
Rege,Rege.N
Regel,Regel.N:f
Regen,Rege.N
Regie,Regie.N:f
Regierung,Regierung.N:f
Regime,Regime.N:n
Regiment,Regiment.N:n
Reglements,Reglement.N:n:1pn
Regular,Regular.N:m
Regulations,Regulation.N
Regung,Regung.N:f
Reich,Reich.N:n
Reichen,Reiche.N
Reicher,Reiche.N
Reife,Reife.N
Reiflicher,Reifliche.N
Reihe,Reihe.N:f
Rein,Rein.N:f
Reine,Reine.N
Reinen,Reine.N
Reiner,Reine.N
Reineren,Reine.N
Reinlicher,Reinliche.N
Reis,Reis.N:m
Reise,Reise.N:f
Reisen,Reis.N:m
Reislein,Reislein.N:n
Reiste,Reiste.N:f
Reiz,Reiz.N:m
Reizende,Reizende.N
Reißen,Reißen.N:n
Relation,Relation.N:f
Relationen,Relation.N:f
Relations,Relation.N
Relativ,Relativ.N:n
Relative,Relative.N
Relatives,Relative.N
Relaxation,Relaxation.N:f
Religion,Religion.N:f
Religiosität,Religiosität.N:f
Religiöse,Religiöse.N
Religiösen,Religiöse.N
Religiöses,Religiöse.N
Rendezvous,Rendezvous.N:nen
Reparaturen,Reparatur.N:f
Repetitions,Repetition.N:f
Report,Report.N:m
Reporter,Reporter.N:men
Reports,Report.N:m
Reproduktion,Reproduktion.N:f
Reproduktionen,Reproduktion.N:f
Reproduzierenden,Reproduzierende.N
Republik,Republik.N:f
Repulsive,Repulsive.N
Requiem,Requiem.N:n
Requiems,Requiem.N:n:1pn
Res,Re.N:n:1pn
Research,Research.N:n
Reserve,Reserve.N:f
Reservieren,Reservieren.N:n
Reservierten,Reservierte.N
Resignation,Resignation.N:f
Resistance,Resistance.N:f
Respektes,Respekt.N:m
Respektieren,Respektieren.N:n
Rest,Rest.N:m
Restaurant,Restaurant.N:n
Restaurants,Restaurant.N:n:1pn
Restlichen,Restliche.N
Rests,Rest.N:m
Resultat,Resultat.N:n
Resultate,Resultat.N:n
Resultats,Resultat.N
Resultierende,Resultierende.N
Retournierte,Retournierte.N
Retrograde,Retrograde.N
Reue,Reue.N:f
Reuen,Reuen.N:n
Reverse,Revers.N:m
Revidierte,Revidierte.N
Review,Review.N:f
Reviews,Review.N:f
Revision,Revision.N:f
Rezension,Rezension.N:f
Rezept,Rezept.N:n
Rezepten,Rezept.N:n
Rezitator,Rezitator.N:m
Rhapsode,Rhapsode.N:m
Rheumatischen,Rheumatische.N
Rhythmus,Rhythmus.N:m
Richte,Richte.N:f
Richten,Richte.N
Richter,Richter.N:m
Richters,Richter.N:m
Richtige,Richtige.N
Richtigen,Richtige.N
Richtiger,Richtige.N
Richtigere,Richtige.N
Richtiges,Richtige.N
Richtigkeit,Richtigkeit.N:f
Richtigste,Richtige.N
Richtigsten,Richtige.N
Richtung,Richtung.N:f
Riesige,Riesige.N
Riesiges,Riesige.N
Riet,Riet.N:n
Ring,Ring.N:m
Ringe,Ring.N:m
Ringen,Ringen.N:n
Risiko,Risiko.N:n
Risse,Riß.N:m
Ritt,Ritt.N:m
Ritual,Ritual.N:n
Rivalisieren,Rivalisieren.N:n
Rivalisierens,Rivalisieren.N
Riß,Riß.N:m
Rock,Rock.N:m
Roggen,Roggen.N:m
Rohen,Rohe.N
Rollers,Roller.N:m
Roman,Roman.N:m
Romancier,Romancier.N:m
Rose,Rose.N:f
Rosigen,Rosige.N
Rosinen,Rosine.N
Ross,Ross.N:n
Rote,Rote.N
Roten,Rote.N
Rotten,Rotte.N
Rouge,Rouge.N:n
Route,Route.N:f
Ruf,Ruf.N:m
Rufe,Rufe.N:f
Rufen,Rufe.N
Ruh,Ruhe.N
Ruhe,Ruhe.N
Ruhigen,Ruhige.N
Ruhiger,Ruhige.N
Ruhm,Ruhm.N:m
Ruinen,Ruine.N
Rumänien,Rumänien.N:n
Run,Run.N:m
Rund,Rund.N:n
Runden,Runde.N
Runen,Rune.N
Runs,Runs.N:m
Rusch,Rusch.N:m
Rush,Rush.N:m
Russen,Russe.N
Russische,Russische.N
Russischen,Russische.N
Rußland,Rußland.N:n
Rätsel,Rätsel.N:n
Räume,Raum.N:m
Rücken,Rücken.N
Rückkehr,Rückkehr.N:f
Rückkunft,Rückkunft.N:f
Rücksichtslosigkeit,Rücksichtslosigkeit.N:f
Rühmen,Rühmen.N:n
Rühren,Rühren.N:n
Rührenden,Rührende.N
Rührender,Rührende.N
Rührung,Rührung.N:f
Rüstigen,Rüstige.N
Saal,Saal.N:m
Sache,Sache.N:f
Sachen,Sache.N
Sachlichkeit,Sachlichkeit.N:f
Sachverhalt,Sachverhalt.N:m
Sachverhalte,Sachverhalt.N:m
Sachverhalten,Sachverhalt.N:m
Sachverhaltes,Sachverhalt.N:m
Sack,Sack.N:m
Safe,Safe.N:m
Sage,Sage.N
Sagen,Sage.N
Sake,Sake.N:m
Salbe,Salbe.N:f
Same,Same.N:m
Samen,Same.N
Sammlung,Sammlung.N:f
Sample,Sample.N:n
Samstag,Samstag.N:m
Samt,Samt.N:m
Sanatorium,Sanatorium.N:n
Sanctus,Sanctus.N:n
Sand,Sand.N:m
Sanftem,Sanfte.N
Sanfter,Sanfte.N
Sang,Sang.N:m
Satz,Satz.N:m
Satze,Satz.N:m
Satzes,Satz.N:m
Sauce,Sauce.N:f
Sauer,Sauer.N:n
Saures,Saure.N
Saß,Saß.N:m
Scene,Scene.N:f
Schachtel,Schachtel.N:f
Schade,Schadee.N
Schaden,Schadee.N
Schaffe,Schaff.N:n
Schaffen,Schaffe.N
Schaffenden,Schaffende.N
Schande,Schande.N:f
Scharlach,Scharlach.N:m
Scharnieren,Scharnier.N:n
Schatten,Schatten.N:m
Schatz,Schatz.N:m
Schau,Schau.N:f
Schauen,Schau.N:f
Scheck,Scheck.N:m
Scheiden,Scheide.N
Schein,Schein.N:m
Scheine,Schein.N:m
Scheinen,Schein.N:m
Schema,Schema.N:n
Schenke,Schenke.N:f
Schenken,Schenke.N
Schererei,Schererei.N:f
Scherereien,Schererei.N:f
Scherzo,Scherzo.N:n
Scheue,Scheue.N
Scheußliche,Scheußliche.N
Scheußlichen,Scheußliche.N
Scheußliches,Scheußliche.N
Schick,Schick.N:m
Schicke,Schicke.N
Schicken,Schicke.N
Schicksal,Schicksal.N:n
Schieben,Schieben.N:n
Schiefes,Schiefe.N
Schiene,Schiene.N:f
Schienen,Schiene.N
Schiff,Schiff.N:n
Schiffe,Schiff.N
Schillernde,Schillernde.N
Schilling,Schilling.N:m
Schillingen,Schilling.N:m
Schimmernden,Schimmernde.N
Schimpfen,Schimpfe.N
Schlacht,Schlacht.N:f
Schlaf,Schlaf.N:m
Schlafen,Schlafen.N:n
Schlafende,Schlafende.N
Schlaflosigkeit,Schlaflosigkeit.N:f
Schlag,Schlag.N:m
Schlage,Schlage.N:f
Schlagen,Schlage.N
Schlager,Schlager.N:m
Schlamperei,Schlamperei.N:f
Schlechte,Schlechte.N
Schlechtem,Schlechte.N
Schlechten,Schlechte.N
Schlechter,Schlechte.N
Schlechtes,Schlechte.N
Schlechteste,Schlechte.N
Schlechtigkeit,Schlechtigkeit.N:f
Schleim,Schleim.N:m
Schleppe,Schleppe.N:f
Schlick,Schlick.N:m
Schlicks,Schlick.N:m
Schließe,Schließe.N:f
Schließen,Schließe.N
Schlimme,Schlimme.N
Schlimmen,Schlimme.N
Schlimmer,Schlimme.N
Schlimmes,Schlimme.N
Schlimmsten,Schlimme.N
Schlotternden,Schlotternde.N
Schloß,Schloß.N:n
Schlummernde,Schlummernde.N
Schlummernden,Schlummernde.N
Schluss,Schluss.N:m
Schlusse,Schluß.N:m
Schluß,Schluß.N:m
Schlüpfrigen,Schlüpfrige.N
Schlüssel,Schlüssel.N:m
Schlüssen,Schluß.N:m
Schmarrn,Schmarrn.N:m
Schmeichelhafte,Schmeichelhafte.N
Schmelzen,Schmelze.N
Schmerz,Schmerz.N:m
Schmerzen,Schmerz.N:m
Schmerzhaften,Schmerzhafte.N
Schmetterling,Schmetterling.N:m
Schmiegen,Schmiege.N
Schmierage,Schmierage.N:f
Schmierer,Schmierer.N:m
Schmutz,Schmutz.N:m
Schmutzigen,Schmutzige.N
Schmälern,Schmälern.N:n
Schnee,Schnee.N
Schneidenden,Schneidende.N
Schnelle,Schnelle.N
Schneller,Schnelle.N
Schnitt,Schnitt.N:m
Schock,Schock.N:n
Schokolade,Schokolade.N:f
Schonen,Schonen.N:n
Schraffierung,Schraffierung.N:f
Schrank,Schrank.N:m
